name,chembl_id,smiles,predicted_affinity,predicted_hit_prob,scaffold
DEXMEDETOMIDINE HYDROCHLORIDE,CHEMBL2106195,Cc1cccc([C@H](C)c2c[nH]cn2)c1C.Cl,-4.357752734371741,0.2587553561394229,c1ccc(Cc2c[nH]cn2)cc1
CARBAMAZEPINE,CHEMBL108,NC(=O)N1c2ccccc2C=Cc2ccccc21,-4.356307454342487,0.3309450928369398,C1=Cc2ccccc2Nc2ccccc21
PHENAZOPYRIDINE HYDROCHLORIDE,CHEMBL1201022,Cl.Nc1ccc(/N=N/c2ccccc2)c(N)n1,-4.351990706755583,0.3285068836285152,c1ccc(/N=N/c2cccnc2)cc1
HISTAMINE PHOSPHATE,CHEMBL3989520,NCCc1c[nH]cn1.O=P(O)(O)O.O=P(O)(O)O,-4.350221092100144,0.2615843670200631,c1c[nH]cn1
ESKETAMINE HYDROCHLORIDE,CHEMBL2364609,CN[C@]1(c2ccccc2Cl)CCCCC1=O.Cl,-4.334985693626092,0.2898614989515877,O=C1CCCCC1c1ccccc1
KETAMINE HYDROCHLORIDE,CHEMBL1714,CNC1(c2ccccc2Cl)CCCCC1=O.Cl,-4.334985693626092,0.2898614989515877,O=C1CCCCC1c1ccccc1
OXYMETAZOLINE HYDROCHLORIDE,CHEMBL1200791,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1.Cl,-4.329138355038782,0.2759122966371881,c1ccc(CC2=NCCN2)cc1
MASOPROCOL,CHEMBL313972,C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1,-4.324392645919085,0.2063000483876224,c1ccc(CCCCc2ccccc2)cc1
ROPINIROLE HYDROCHLORIDE,CHEMBL1200411,CCCN(CCC)CCc1cccc2c1CC(=O)N2.Cl,-4.321844582292086,0.3075228102212408,O=C1Cc2ccccc2N1
DIENESTROL,CHEMBL1018,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,-4.320901390058878,0.2723158286936434,C=C(C(=C)c1ccccc1)c1ccccc1
PENBUTOLOL,CHEMBL1290,CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1,-4.319050641330058,0.2747292791532221,c1ccc(C2CCCC2)cc1
PHENIRAMINE,CHEMBL1193,CN(C)CCC(c1ccccc1)c1ccccn1,-4.317644643007049,0.3036129151853836,c1ccc(Cc2ccccn2)cc1
PRAMIPEXOLE DIHYDROCHLORIDE,CHEMBL3182733,CCCN[C@H]1CCc2nc(N)sc2C1.Cl.Cl.O,-4.299409447231694,0.200267793321827,c1nc2c(s1)CCCC2
LEVOBUNOLOL HYDROCHLORIDE,CHEMBL1201177,CC(C)(C)NC[C@H](O)COc1cccc2c1CCCC2=O.Cl,-4.297690499814697,0.25224351118433,O=C1CCCc2ccccc21
PIFOXIME,CHEMBL1998966,C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1,-4.296227714150659,0.2296439935297086,O=C(COc1ccccc1)N1CCCCC1
