name,smiles,mw,logp
MEPERIDINE,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,247.33799999999994,2.2131
MINODRONIC ACID,O=P(O)(O)C(O)(Cc1cnc2ccccn12)P(=O)(O)O,322.15000000000003,-0.12170000000000009
RAMELTEON,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,259.34899999999993,2.5676000000000005
ATOMOXETINE,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,255.361,3.7246200000000034
CARTEOLOL,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,292.37899999999996,1.6990999999999998
HEXOBARBITAL,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,236.27099999999993,1.2012999999999998
ANAGRELIDE,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,256.092,1.9263000000000001
THEOPHYLLINE GLYCINATE,Cn1c(=O)c2[nH]cnc2n(C)c1=O,180.16699999999997,-1.0397000000000005
MOCLOBEMIDE,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,268.74399999999997,1.4020000000000006
CRISABOROLE,N#Cc1ccc(Oc2ccc3c(c2)COB3O)cc1,251.04999999999998,1.5682799999999997
TIMOLOL,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,316.4270000000002,0.5024999999999997
BUPIVACAINE,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,288.43500000000006,3.8965400000000026
LEVOBUPIVACAINE,CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,288.43500000000006,3.8965400000000026
ARBUTAMINE,Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1,317.38500000000005,2.449300000000001
LEVAMISOLE,c1ccc([C@H]2CN3CCSC3=N2)cc1,204.298,2.1460999999999997
ANAGRELIDE,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,256.092,1.9263000000000001
PROPYLIODONE,CCCOC(=O)Cn1cc(I)c(=O)c(I)c1,447.01000000000005,2.0107
PROPOXYPHENE,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,339.47900000000016,4.275500000000004
LEVOPROPOXYPHENE,CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,339.47900000000016,4.275500000000004
VARENICLINE,c1cnc2cc3c(cc2n1)[C@@H]1CNC[C@H]3C1,211.26799999999994,1.8038999999999998
LEVOBETAXOLOL,CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1,307.434,2.3933999999999997
BETAXOLOL,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,307.434,2.3933999999999997
CLOBAZAM,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,300.74500000000006,3.3712000000000018
NEFOPAM,CN1CCOC(c2ccccc2)c2ccccc2C1,253.345,3.238000000000002
ISOSORBIDE DINITRATE,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],236.13599999999997,-1.0622000000000003
PHENOXYBENZAMINE,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,303.83299999999997,4.194900000000003
PARAMETHADIONE,CCC1(C)OC(=O)N(C)C1=O,157.16899999999995,0.7637
THIOTEPA,S=P(N1CC1)(N1CC1)N1CC1,189.22399999999996,0.15770000000000017
DIBROMSALAN,O=C(Nc1ccc(Br)cc1)c1cc(Br)ccc1O,371.028,4.169500000000001
PROMETHAZINE,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,284.428,4.239400000000003
TRAMADOL,COc1cccc(C2(O)CCCCC2CN(C)C)c1,263.3809999999999,2.6346000000000007
LEFLUNOMIDE,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,270.21,3.2541200000000012
TERBINAFINE,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,291.438,4.877300000000004
PROTRIPTYLINE,CNCCCC1c2ccccc2C=Cc2ccccc21,263.384,4.301900000000003
TRIMETHADIONE,CN1C(=O)OC(C)(C)C1=O,143.142,0.37359999999999993
SULFAMETHOXYPYRIDAZINE,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,280.30899999999997,0.8681999999999999
NICLOSAMIDE,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,327.12300000000005,3.859500000000001
METHYLHOMATROPINE,C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2,290.38300000000004,2.033
SORIVUDINE,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)cc1/C=C/Br,349.137,-1.4862999999999988
NADOLOL,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,309.406,0.6347999999999998
RANELIC ACID,N#Cc1c(N(CC(=O)O)CC(=O)O)sc(C(=O)O)c1CC(=O)O,342.2850000000001,-0.07932000000000056
