name,best_affinity,z_score,hit_level,family,source,repo_score,scaffold
CARBARIL,-6.854,-0.955996831006598,L4_BiotinLike,Other,chembl_ml_screen,3.5,c1ccc2ccccc2c1
MENADIONE,-6.826,-0.9359266620913345,L4_BiotinLike,Other,chembl_ml_screen,3.5,O=C1C=CC(=O)c2ccccc21
TROPICAMIDE,-6.826,-0.9359266620913345,L4_BiotinLike,Other,chembl_ml_screen,3.5,O=C(Cc1ccccc1)NCc1ccncc1
BENZYL BENZOATE,-6.8,-0.9172900766700186,L4_BiotinLike,Other,chembl_ml_screen,3.5,O=C(OCc1ccccc1)c1ccccc1
LOFEXIDINE,-6.783,-0.9051046169714663,L4_BiotinLike,Other,chembl_ml_screen,3.5,c1ccc(OCC2=NCCN2)cc1
SOLRIAMFETOL,-6.763,-0.8907687820319922,L4_BiotinLike,Other,chembl_ml_screen,3.5,c1ccccc1
BIOTIN,-6.816,-0.9287587446215977,L4_BiotinLike,Biotin_analog,chembl_ml_screen,2.5,O=C1N[C@H]2CSC[C@H]2N1
Homobiotin,-6.944,-0.7056668293686654,L4_BiotinLike,Biotin_analog,hand_picked,1.5,O=C1NC2CSCC2N1
Desthiobiotin,-6.914,-0.6983265913694282,L4_BiotinLike,Biotin_analog,hand_picked,1.5,O=C1NCCN1
L-Tryptophan,-6.876,-0.6890289565703946,L4_BiotinLike,Amino_acid,hand_picked,1.5,c1ccc2[nH]ccc2c1
Biotin_Sulfoxide,-6.868,-0.687071559770598,L4_BiotinLike,Biotin_analog,hand_picked,1.5,O=C1NC2CS(=O)CC2N1
Biotin,-6.762,-0.6611360521732931,L4_BiotinLike,Biotin_analog,hand_picked,0.5,O=C1NC2CSCC2N1
INDALPINE,-7.0,-1.0606484260647566,L5_Weak,Other,chembl_ml_screen,3.5,c1ccc2c(CCC3CCNCC3)c[nH]c2c1
MONOBENZONE,-6.736,-0.8714154048637025,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc(COc2ccccc2)cc1
SULFADIAZINE,-6.731,-0.8678314461288341,L5_Weak,Other,chembl_ml_screen,3.0,O=S(=O)(Nc1ncccn1)c1ccccc1
TICLOPIDINE,-6.706,-0.8499116524544922,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc(CN2CCc3sccc3C2)cc1
CHLORZOXAZONE,-6.699,-0.844894110225676,L5_Weak,Other,chembl_ml_screen,3.0,O=c1[nH]c2ccccc2o1
COUMARIN,-6.687,-0.836292609261992,L5_Weak,Other,chembl_ml_screen,3.0,O=c1ccc2ccccc2o1
DIAZOXIDE,-6.682,-0.8327086505271236,L5_Weak,Other,chembl_ml_screen,3.0,O=S1(=O)NC=Nc2ccccc21
KETAMINE,-6.665,-0.8205231908285707,L5_Weak,Other,chembl_ml_screen,3.0,O=C1CCCCC1c1ccccc1
PHENSUXIMIDE,-6.651,-0.8104881063709388,L5_Weak,Other,chembl_ml_screen,3.0,O=C1CC(c2ccccc2)C(=O)N1
