name,chembl_id,smiles,predicted_affinity,predicted_hit_prob
CARGLUMIC ACID,CHEMBL1201780,NC(=O)N[C@@H](CCC(=O)O)C(=O)O,-4.220149600216546,0.290683254801541
SULFADICRAMIDE,CHEMBL2104910,CC(C)=CC(=O)NS(=O)(=O)c1ccc(N)cc1,-4.2138987191346615,0.2509199225696285
OCTINOXATE,CHEMBL3183184,CCCCC(CC)COC(=O)C=Cc1ccc(OC)cc1,-4.156371757578047,0.2226224433012878
METOCLOPRAMIDE,CHEMBL86,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,-4.126933999157423,0.2779292040270787
MALATHION,CHEMBL1200468,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-4.122678503200074,0.2155618513523683
PROPANIDID,CHEMBL2105345,CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1,-4.098881458278061,0.2465341272916342
PROPOXYCAINE,CHEMBL1195,CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC,-4.074938830154285,0.3051572405850481
CHLORAMPHENICOL,CHEMBL130,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,-4.05465066071096,0.2581817853547368
PROCAINE,CHEMBL569,CCN(CC)CCOC(=O)c1ccc(N)cc1,-4.053598261285194,0.2449266519179405
ACEBUTOLOL,CHEMBL642,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,-4.040034465223594,0.2772323839323949
METHYLHOMATROPINE,CHEMBL1201235,C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2,-4.007212461639468,0.2568803986752001
AMINOHIPPURIC ACID,CHEMBL463,Nc1ccc(C(=O)NCC(=O)O)cc1,-3.996312129772546,0.3444869730932947
PROCARBAZINE,CHEMBL1321,CNNCc1ccc(C(=O)NC(C)C)cc1,-3.994276281852792,0.2427037860881971
SULBACTAM,CHEMBL403,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,-3.989146277907344,0.2774215555702954
BROMAZEPAM,CHEMBL277062,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,-3.9887102269099417,0.3314242997301803
FENOFIBRIC ACID,CHEMBL981,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,-3.986928380188406,0.2867519788047826
CINOXACIN,CHEMBL1208,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,-3.985561079048563,0.3429634972934969
OXELADIN,CHEMBL1500276,CCN(CC)CCOCCOC(=O)C(CC)(CC)c1ccccc1,-3.979105759439478,0.2658326480112971
OSELTAMIVIR,CHEMBL1229,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,-3.973938104542297,0.2573911503826732
FENSPIRIDE,CHEMBL576127,O=C1NCC2(CCN(CCc3ccccc3)CC2)O1,-3.97070602975657,0.3279290528643725
METIPRANOLOL,CHEMBL1291,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C,-3.966752819129564,0.2713702531023633
AVIBACTAM,CHEMBL1689063,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,-3.9627889709354047,0.2627390478056337
ENTACAPONE,CHEMBL953,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,-3.961496873295383,0.24613819437307
ZOLMITRIPTAN,CHEMBL1185,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,-3.9610449666395127,0.3166309528050399
PHENYLBUTAZONE,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-3.9531077965613215,0.2779665756464695
HOMATROPINE,CHEMBL1618018,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2,-3.953106213268148,0.2641462358166683
CIPROFLOXACIN,CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,-3.9428458529469976,0.3554523526161173
BENFLUOREX,CHEMBL400599,CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1,-3.933582769186508,0.3014324525331865
DIBENZEPIN,CHEMBL1442422,CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21,-3.930505745331895,0.240250187636109
DIAZEPAM,CHEMBL12,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,-3.920918954743327,0.30067765902413
CLOPIDOGREL,CHEMBL1771,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,-3.9161445980608782,0.2461226804626469
OXYPHENBUTAZONE ANHYDROUS,CHEMBL1228,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O,-3.914963713544901,0.2949469338118726
CYCLANDELATE,CHEMBL1480987,CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1,-3.91384378997023,0.3199874928515713
TOLCAPONE,CHEMBL1324,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,-3.9025032797633448,0.2831706094049476
KETOTIFEN,CHEMBL534,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,-3.898132517831865,0.2222001998045851
AMINEPTINE,CHEMBL418995,O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,-3.8936275287209514,0.3721216879726387
LORACARBEF ANHYDROUS,CHEMBL1013,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1,-3.8891368874019,0.3166591969334444
DOLASETRON,CHEMBL2368925,O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,-3.885000511565141,0.3057305744557331
TOLOXATONE,CHEMBL18116,Cc1cccc(N2CC(CO)OC2=O)c1,-3.881575500625238,0.2678481918606206
TROPISETRON,CHEMBL56564,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1c[nH]c3ccccc13)C2,-3.8807713045454415,0.2849721369585416
LORAZEPAM,CHEMBL580,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,-3.873209234006335,0.3199752219368305
LENALIDOMIDE,CHEMBL848,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,-3.872490303905639,0.2886196357517159
FUROSEMIDE,CHEMBL35,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,-3.8719726408150033,0.3996084060793305
ATROPINE,CHEMBL517712,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,-3.867571675996596,0.2515059646361135
FOSCARBIDOPA,CHEMBL4802240,C[C@@](Cc1ccc(OP(=O)(O)O)c(O)c1)(NN)C(=O)O,-3.864978425868694,0.3116758392767964
ICOSAPENT ETHYL,CHEMBL2095209,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,-3.861131789831165,0.2376247066718386
INDOPROFEN,CHEMBL15870,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,-3.8605578396222704,0.2781798727062626
OXAZEPAM,CHEMBL568,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,-3.858186689822303,0.3822798042264216
ENALAPRILAT ANHYDROUS,CHEMBL577,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,-3.8549613445936033,0.2298645301660901
DISOPYRAMIDE,CHEMBL517,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,-3.848956308124845,0.2739804181883781
OXYPHENONIUM,CHEMBL1201286,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,-3.845753006661845,0.2807136766468728
METHSCOPOLAMINE,CHEMBL376897,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,-3.841613686976029,0.2417400703099243
AMILORIDE,CHEMBL945,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,-3.8409114606682215,0.2577495145474062
IDEBENONE,CHEMBL252556,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,-3.8390303534073222,0.249789388011823
TETRAZEPAM,CHEMBL2105527,CN1C(=O)CN=C(C2=CCCCC2)c2cc(Cl)ccc21,-3.8387424365430127,0.2351225482398037
TRIBROMSALAN,CHEMBL24944,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,-3.828108900893916,0.3208994436378396
BENDAMUSTINE,CHEMBL487253,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,-3.810132272338324,0.391573003642446
ACITRETIN,CHEMBL1131,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,-3.804207979653331,0.2986751458251225
CLOTIAZEPAM,CHEMBL1697737,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,-3.796704680581125,0.2398268913537501
CLORAZEPIC ACID,CHEMBL1213252,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,-3.792901454052735,0.3584143208490802
SULFABENZAMIDE,CHEMBL1243,Nc1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1,-3.7855908953539226,0.314929471902698
ETODOLAC,CHEMBL622,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,-3.785268674064821,0.3717701652350157
REMOXIPRIDE,CHEMBL22242,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,-3.781441337819004,0.2691302702750334
PRAZIQUANTEL,CHEMBL976,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,-3.781134494978104,0.2420817075570495
GLYCOPYRRONIUM,CHEMBL1201335,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,-3.7773173170973857,0.2580631281158932
PALONOSETRON,CHEMBL1189679,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,-3.775006853031621,0.2311681342221629
FEPRAZONE,CHEMBL1452696,CC(C)=CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-3.7747214709289527,0.2703974881724734
PROPARACAINE,CHEMBL1196,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N,-3.768031954035898,0.2871767806835957
NILUTAMIDE,CHEMBL1274,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,-3.762068052121648,0.2403003839011656
DIPIVEFRIN,CHEMBL1201262,CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,-3.759659902523892,0.2622461027744826
DIBUCAINE,CHEMBL1086,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,-3.754595355211861,0.2823910776952725
CARPROFEN,CHEMBL1316,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,-3.754367566177684,0.3417708170112247
BENDAZAC,CHEMBL1089221,O=C(O)COc1nn(Cc2ccccc2)c2ccccc12,-3.751358848827109,0.3386546558841923
TEMAZEPAM,CHEMBL967,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,-3.7426408962276287,0.2524504415886984
DURLOBACTAM,CHEMBL4298137,CC1=C[C@@H]2CN(C(=O)N2OS(=O)(=O)O)[C@@H]1C(N)=O,-3.73668345175252,0.2341464818336696
ENOXACIN,CHEMBL826,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,-3.735808010030573,0.3650431631874981
FROVATRIPTAN,CHEMBL1279,CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1,-3.732169352184045,0.277253217279405
SCOPOLAMINE,CHEMBL569713,CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,-3.731225873834686,0.2341445503842324
POMALIDOMIDE,CHEMBL43452,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,-3.728986279425317,0.3028186759969441
LORMETAZEPAM,CHEMBL22097,CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,-3.727353269964624,0.2290521587354422
ALCAFTADINE,CHEMBL1201747,CN1CCC(=C2c3ccccc3CCn3c(C=O)cnc32)CC1,-3.726516695936387,0.1888203479036368
CINCHOPHEN,CHEMBL348000,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,-3.721164458471547,0.4359853731880906
NEVIRAPINE,CHEMBL57,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,-3.718562436588762,0.2472670741533179
SULPIRIDE,CHEMBL26,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,-3.710827761081672,0.2763336272062374
ISOPROPAMIDE,CHEMBL1201232,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C,-3.696354256907942,0.2739468344524458
SULFISOXAZOLE ACETYL,CHEMBL1200910,CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,-3.692251514828095,0.2045377683789672
LAPYRIUM,CHEMBL1201786,CCCCCCCCCCCC(=O)OCCNC(=O)C[n+]1ccccc1,-3.6910336811950657,0.2826001171698425
MEPENZOLATE,CHEMBL524004,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,-3.6832251545388615,0.2626114172346092
FEBUXOSTAT,CHEMBL1164729,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,-3.675369504055682,0.3082005233967559
IPRATROPIUM,CHEMBL1621597,CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,-3.665674232002249,0.2322029419308341
PYROVALERONE,CHEMBL201960,CCCC(C(=O)c1ccc(C)cc1)N1CCCC1,-3.6642374929940087,0.253956358731305
