name,chembl_id,smiles,predicted_affinity,predicted_hit_prob
PHENYLPROPANOLAMINE,CHEMBL61006,CC(N)C(O)c1ccccc1,-4.993727755870315,0.29654017652182096
SELENIUM SULFIDE,CHEMBL1200680,S=[Se]=S,-4.990434707634287,0.20753627716552803
PHENYLPROPANOLAMINE HYDROCHLORIDE,CHEMBL1200695,CC(N)C(O)c1ccccc1.Cl,-4.988432231392454,0.29971621218547745
MONOMETHYL FUMARATE,CHEMBL589586,COC(=O)/C=C/C(=O)O,-4.988201812614654,0.2617485158811284
PHENYLEPHRINE HYDROCHLORIDE,CHEMBL1200339,CNC[C@H](O)c1cccc(O)c1.Cl,-4.984351649092256,0.2954750071056008
PHENYLEPHRINE,CHEMBL1215,CNC[C@H](O)c1cccc(O)c1,-4.984110030044636,0.2853663742781053
NOXYTIOLIN,CHEMBL2106441,CNC(=S)NCO,-4.982510367152299,0.20139970819845485
XENON,CHEMBL1236802,[Xe],-4.9807213927341865,0.20192588048820898
"XENON XE-129, HYPERPOLARIZED",CHEMBL4594411,[129Xe],-4.9807213927341865,0.20192588048820898
XENON XE 133,CHEMBL1200685,[133Xe],-4.9807213927341865,0.20192588048820898
XENON XE 127,CHEMBL1200673,[127Xe],-4.9807213927341865,0.20192588048820898
TIOPRONIN,CHEMBL1314,CC(S)C(=O)NCC(=O)O,-4.978868905751012,0.2609507603198039
ETHOTOIN,CHEMBL1095,CCN1C(=O)NC(c2ccccc2)C1=O,-4.977975435482573,0.3658321876393097
EDROPHONIUM,CHEMBL1104,CC[N+](C)(C)c1cccc(O)c1,-4.977769295727321,0.27764943214950544
EDROPHONIUM CHLORIDE,CHEMBL1128,CC[N+](C)(C)c1cccc(O)c1.[Cl-],-4.976730275419579,0.2861819815635073
ARSENIC TRIOXIDE,CHEMBL5483015,O=[As][As+](=O)[O-],-4.976268601998449,0.22958095836682052
GUANETHIDINE,CHEMBL765,N=C(N)NCCN1CCCCCCC1,-4.975851248035533,0.2821938490333482
CARBAMOYLCHOLINE,CHEMBL965,C[N+](C)(C)CCOC(N)=O,-4.975794806935578,0.22737820954685933
SELEGILINE,CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1,-4.973134680936622,0.3098092417763784
SELEGILINE HYDROCHLORIDE,CHEMBL1200904,C#CCN(C)[C@H](C)Cc1ccccc1.Cl,-4.971491380936621,0.30937478101601157
PROPYLTHIOURACIL,CHEMBL1518,CCCc1cc(=O)[nH]c(=S)[nH]1,-4.970178374330941,0.29115559342976444
MERCAPTOPURINE ANHYDROUS,CHEMBL1425,Sc1ncnc2nc[nH]c12,-4.965226503404981,0.2871742600672091
CLAVULANIC ACID,CHEMBL777,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,-4.962610489056712,0.29464180619130315
CARBARIL,CHEMBL46917,CNC(=O)Oc1cccc2ccccc12,-4.960301071615922,0.39421112355096577
EFLORNITHINE,CHEMBL830,NCCCC(N)(C(=O)O)C(F)F,-4.958884267374374,0.3376384305125127
METARAMINOL,CHEMBL1201319,C[C@H](N)[C@H](O)c1cccc(O)c1,-4.958337760123418,0.2712516466438055
MERCAPTOPURINE,CHEMBL1200751,O.S=c1[nH]cnc2nc[nH]c12,-4.957365044826697,0.3063651893543158
GLUTAMINE,CHEMBL930,NC(=O)CC[C@H](N)C(=O)O,-4.955518696393126,0.3278807827807681
BETHANIDINE,CHEMBL1201260,C/N=C(\NC)NCc1ccccc1,-4.954376062850352,0.30509704844319707
ALUMINUM CHLORIDE ANHYDROUS,CHEMBL3833401,Cl[Al](Cl)Cl,-4.954106386412097,0.21579834605984521
BROMISOVALUM,CHEMBL1515611,CC(C)C(Br)C(=O)NC(N)=O,-4.954021845619641,0.20358096856166616
BUFORMIN,CHEMBL39736,CCCCNC(=N)NC(=N)N,-4.950079191885542,0.20710348396410938
PYRAZINAMIDE,CHEMBL614,NC(=O)c1cnccn1,-4.946407347657266,0.27452524284064056
RADIUM DICHLORIDE,CHEMBL2111187,Cl[Ra]Cl,-4.943529052521684,0.2196153419805537
FENPROPOREX,CHEMBL2105566,CC(Cc1ccccc1)NCCC#N,-4.9421968531574185,0.3069296634950463
TARTARIC ACID,CHEMBL1236315,O=C(O)[C@H](O)[C@@H](O)C(=O)O,-4.938323511093811,0.26961286674518364
