name,best_affinity,all_affinities
"5,5-bis(prop-2-ynyl)-1,3-diazinane-2,4,6-trio",-7.612,"[-7.612, -7.427, -7.323, -4.814, -4.428, 0.0, 1.0, 10.0, 16.0]"
5-methyl-5-phenylpiperidin-2-one,-7.6,"[-7.6, -6.74, -6.677, -6.619, -6.265, 0.0, 1.0, 10.0, 16.0]"
"5-ethyl-5-hept-3-en-4-yl-1,3-diazinane-2,4-di",-7.587,"[-7.587, -7.218, -6.782, -6.548, -6.42, 0.0, 1.0, 10.0, 16.0]"
"5-ethyl-5-(2-phenylethyl)-1,3-diazinane-2,4,6",-7.582,"[-7.582, -7.45, -6.591, -6.391, -6.272, 0.0, 1.0, 10.0, 16.0]"
"5-ethyl-5-propan-2-yl-1,3-diazinane-2,4,6-tri",-7.565,"[-7.565, -7.531, -7.426, -7.294, -6.921, 0.0, 1.0, 10.0, 16.0]"
"4-[(4-fluorophenyl)methyl]piperidine-2,6-dion",-7.564,"[-7.564, -6.824, -6.162, -6.036, -5.76, 0.0, 1.0, 10.0, 16.0]"
"(3S)-3-phenyl-3-piperidin-4-ylpiperidine-2,6-",-7.563,"[-7.563, -6.696, -6.528, -6.125, -5.781, 0.0, 1.0, 10.0, 16.0]"
"5-(2,2-dimethylpropyl)-5-methyl-1,3-diazinane",-7.563,"[-7.563, -7.158, -7.033, -6.984, -6.73, 0.0, 1.0, 10.0, 16.0]"
"5-ethyl-5-(2,3,4,5,6-pentadeuteriophenyl)-1,3",-7.562,"[-7.562, -6.806, -6.512, -6.413, -6.006, 0.0, 1.0, 10.0, 16.0]"
"5-(cyclohexen-1-ylmethyl)-1-methyl-1,3-diazin",-7.562,"[-7.562, -6.321, -6.133, -6.127, -6.001, 0.0, 1.0, 10.0, 16.0]"
"5-[(2R)-butan-2-yl]-5-propyl-1,3-diazinane-2,",-7.559,"[-7.559, -7.253, -7.176, -7.021, -6.992, 0.0, 1.0, 10.0, 16.0]"
"5-ethyl-5-prop-2-ynyl-1,3-diazinane-2,4,6-tri",-7.557,"[-7.557, -7.533, -7.421, -7.177, -7.052, 0.0, 1.0, 10.0, 16.0]"
"5-[(Z)-prop-1-enyl]-5-propyl-1,3-diazinane-2,",-7.555,"[-7.555, -7.064, -6.981, -6.907, -6.796, 0.0, 1.0, 10.0, 16.0]"
"2-[4-(2,6-dioxopiperidin-3-yl)-3,5-difluoroph",-7.549,"[-7.549, -6.509, -6.407, -6.013, -5.412, 0.0, 1.0, 10.0, 16.0]"
"2-[4-(2,6-dioxopiperidin-3-yl)-3-fluorophenyl",-7.549,"[-7.549, -6.523, -6.427, -5.917, -5.488, 0.0, 1.0, 10.0, 16.0]"
"5-ethyl-5-prop-1-en-2-yl-1,3-diazinane-2,4,6-",-7.547,"[-7.547, -7.531, -7.19, -6.958, -6.837, 0.0, 1.0, 10.0, 16.0]"
"5-ethyl-5-hept-3-en-4-yl-1,3-diazinane-2,4,6-",-7.543,"[-7.543, -7.232, -6.793, -6.507, -6.19, 0.0, 1.0, 10.0, 16.0]"
"5-but-2-en-2-yl-5-propyl-1,3-diazinane-2,4,6-",-7.541,"[-7.541, -7.531, -7.491, -6.969, -6.787, 0.0, 1.0, 10.0, 16.0]"
"5-[(E)-but-2-en-2-yl]-5-ethyl-1-methyl-1,3-di",-7.537,"[-7.537, -7.279, -7.073, -6.987, -6.921, 0.0, 1.0, 10.0, 16.0]"
"5-[(2S)-butan-2-yl]-5-propyl-1,3-diazinane-2,",-7.529,"[-7.529, -7.174, -6.958, -6.955, -6.951, 0.0, 1.0, 10.0, 16.0]"
"3-(4-fluorophenyl)-1-methylpiperidine-2,6-dio",-7.526,"[-7.526, -7.093, -5.812, -2.943, -2.336, 0.0, 1.0, 10.0, 16.0]"
"5-(cyclohexen-1-yl)-5-methyl-1-propyl-1,3-dia",-7.526,"[-7.526, -7.342, -6.753, -6.194, -6.097, 0.0, 1.0, 10.0, 16.0]"
"5-cyclohex-3-en-1-yl-1,5-dimethyl-1,3-diazina",-7.524,"[-7.524, -6.04, -5.612, -5.395, -4.916, 0.0, 1.0, 10.0, 16.0]"
"(5R)-1,5-dimethyl-5-(3-oxocyclohexen-1-yl)-1,",-7.521,"[-7.521, -7.473, -7.096, -6.917, -6.49, 0.0, 1.0, 10.0, 16.0]"
(5R)-5-[(Z)-but-2-en-2-yl]-5-ethyl-1-methyl-1,-7.52,"[-7.52, -7.244, -7.086, -6.967, -6.864, 0.0, 1.0, 10.0, 16.0]"
5-(cyclohexen-1-yl)-5-methyl-1-(111C)methyl-1,-7.512,"[-7.512, -7.335, -6.743, -5.872, -5.553, 0.0, 1.0, 10.0, 16.0]"
"5-(2-methylpropyl)-5-propyl-1,3-diazinane-2,4",-7.51,"[-7.51, -7.174, -7.145, -7.137, -7.082, 0.0, 1.0, 10.0, 16.0]"
"5-ethyl-5-pentan-3-yl-1,3-diazinane-2,4,6-tri",-7.506,"[-7.506, -7.163, -7.029, -6.91, -6.683, 0.0, 1.0, 10.0, 16.0]"
N-(hydroxycarbamoyl)-2-phenylbutanamide,-7.504,"[-7.504, -6.934, -6.907, -6.868, -6.866, 0.0, 1.0, 10.0, 16.0]"
"5-amino-3-ethyl-3-phenylpiperidine-2,6-dione",-7.501,"[-7.501, -7.437, -7.203, -6.823, -6.658, 0.0, 1.0, 10.0, 16.0]"
