name,chembl_id,smiles,predicted_affinity,predicted_hit_prob,scaffold
BROXYQUINOLINE,CHEMBL223448,Oc1c(Br)cc(Br)c2cccnc12,-4.6679823685944575,0.29456922375221184,c1ccc2ncccc2c1
FAVIPIRAVIR,CHEMBL221722,NC(=O)c1nc(F)cnc1O,-4.6664075019558915,0.25267787510022627,c1cnccn1
PHENDIMETRAZINE,CHEMBL1615439,C[C@H]1[C@H](c2ccccc2)OCCN1C,-4.664502693144314,0.2565929487001952,c1ccc([C@H]2CNCCO2)cc1
PILOCARPINE,CHEMBL550,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,-4.655778748875089,0.27559097161210816,O=C1C[C@@H](Cc2cnc[nH]2)CO1
TRIMETAZIDINE,CHEMBL203266,COc1ccc(CN2CCNCC2)c(OC)c1OC,-4.655360150412873,0.28725388901962295,c1ccc(CN2CCNCC2)cc1
KETOPROFEN,CHEMBL571,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-4.649742414685164,0.32229844864966906,O=C(c1ccccc1)c1ccccc1
DEXKETOPROFEN,CHEMBL75435,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-4.649742414685164,0.32229844864966906,O=C(c1ccccc1)c1ccccc1
CLOMETHIAZOLE,CHEMBL315795,Cc1ncsc1CCCl,-4.649226154963868,0.23957787549182472,c1cscn1
ACIPIMOX,CHEMBL345714,Cc1cnc(C(=O)O)c[n+]1[O-],-4.646765395107143,0.30429512061611785,c1c[nH+]ccn1
BARBITAL SODIUM,CHEMBL2105904,CCC1(CC)C(=O)[N-]C(=O)NC1=O.[Na+],-4.646193442215386,0.27709230995277057,O=C1CC(=O)NC(=O)[N-]1
CENOBAMATE,CHEMBL3989949,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl,-4.644609710865409,0.39026995889173366,c1ccc(CCn2ncnn2)cc1
ETHIONAMIDE,CHEMBL1441,CCc1cc(C(N)=S)ccn1,-4.64320120742513,0.2451333738488204,c1ccncc1
VABORBACTAM,CHEMBL3317857,O=C(O)C[C@@H]1CC[C@H](NC(=O)Cc2cccs2)B(O)O1,-4.643148845216001,0.33263308231271926,O=C(Cc1cccs1)N[C@@H]1BOCCC1
LOXOPROFEN,CHEMBL19299,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,-4.642777895521895,0.28375301023773347,O=C1CCCC1Cc1ccccc1
FLUCYTOSINE,CHEMBL1463,Nc1nc(=O)[nH]cc1F,-4.642052618907581,0.31157695197517965,O=c1nccc[nH]1
PILOCARPINE HYDROCHLORIDE,CHEMBL1200330,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C.Cl,-4.625978877438143,0.2772382388243288,O=C1C[C@@H](Cc2cnc[nH]2)CO1
ZONISAMIDE,CHEMBL750,NS(=O)(=O)Cc1noc2ccccc12,-4.6190281107456785,0.3061670400220646,c1ccc2oncc2c1
FENOPROFEN,CHEMBL1297,CC(C(=O)O)c1cccc(Oc2ccccc2)c1,-4.616656982496703,0.3455573267095555,c1ccc(Oc2ccccc2)cc1
METAXALONE,CHEMBL1079604,Cc1cc(C)cc(OCC2CNC(=O)O2)c1,-4.612223132991989,0.3512553533575557,O=C1NCC(COc2ccccc2)O1
LEVOMILNACIPRAN,CHEMBL99946,CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN,-4.608635974260332,0.3275555789570166,c1ccc(C2CC2)cc1
MILNACIPRAN,CHEMBL259209,CCN(CC)C(=O)C1(c2ccccc2)CC1CN,-4.608635974260332,0.3275555789570166,c1ccc(C2CC2)cc1
AMINOREX,CHEMBL106258,NC1=NCC(c2ccccc2)O1,-4.607009022084964,0.3114237308432721,C1=NCC(c2ccccc2)O1
