name,best_affinity,z_score,hit_level,family,round,source,exhaustiveness,scaffold,smiles
METHYPRYLON,-6.563,-0.747410432637254,L5_Weak,Other,R4,chembl_ml_screen,16,O=C1CCNC(=O)C1,CCC1(CC)C(=O)NCC(C)C1=O
TEMOZOLOMIDE,-6.538,-0.7294906389629122,L5_Weak,Other,R4,chembl_ml_screen,16,O=c1[nH]nnc2cncn12,Cn1nnc2c(C(N)=O)ncn2c1=O
Gemfibrozil,-6.534,-0.6053502433790905,L5_Weak,Other,R1-R3,hand_picked,8,c1ccccc1,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O
Oxaprozin,-6.532,-0.6048608941791415,L5_Weak,Other,R1-R3,hand_picked,8,c1ccc(-c2ccno2)cc1,C1=CC=C(C=C1)C2=CC(=NO2)CCC(=O)O
MILNACIPRAN,-6.532,-0.7251898884810699,L5_Weak,Other,R4,chembl_ml_screen,16,c1ccc(C2CC2)cc1,CCN(CC)C(=O)C1(c2ccccc2)CC1CN
PINDOLOL,-6.51,-0.7094204700476485,L5_Weak,Other,R4,chembl_ml_screen,16,c1ccc2[nH]ccc2c1,CC(C)NCC(O)COc1cccc2[nH]ccc12
DIROXIMEL FUMARATE,-6.501,-0.7029693443248858,L5_Weak,Other,R4,chembl_ml_screen,16,O=C1CCC(=O)N1,COC(=O)/C=C/C(=O)OCCN1C(=O)CCC1=O
PRAMIPEXOLE,-6.497,-0.7001021773369906,L5_Weak,Other,R4,chembl_ml_screen,16,c1nc2c(s1)CCCC2,CCCN[C@H]1CCc2nc(N)sc2C1
PHENYL AMINOSALICYLATE,-6.485,-0.6915006763733067,L5_Weak,Other,R4,chembl_ml_screen,16,O=C(Oc1ccccc1)c1ccccc1,Nc1ccc(C(=O)Oc2ccccc2)c(O)c1
Hippuric_Acid,-6.485,-0.5933611879803365,L5_Weak,Carboxylic_acid,R1-R3,hand_picked,8,c1ccccc1,C1=CC=CC=C1C(=O)NCC(=O)O
CEDAZURIDINE,-6.483,-0.6900670928793589,L5_Weak,Other,R4,chembl_ml_screen,16,O=C1NCCCN1[C@H]1CCCO1,O=C1N[C@H](O)CCN1[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F
ISOCARBOXAZID,-6.468,-0.6793152166747537,L5_Weak,Other,R4,chembl_ml_screen,16,O=C(NNCc1ccccc1)c1ccon1,Cc1cc(C(=O)NNCc2ccccc2)no1
CHLOROTHIAZIDE,-6.464,-0.6764480496868593,L5_Weak,Other,R4,chembl_ml_screen,16,O=S1(=O)NC=Nc2ccccc21,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
ZILEUTON,-6.452,-0.6678465487231747,L5_Weak,Other,R4,chembl_ml_screen,16,c1ccc2sccc2c1,CC(c1cc2ccccc2s1)N(O)C(N)=O
THIAMYLAL,-6.439,-0.6585282560125167,L5_Weak,Other,R4,chembl_ml_screen,16,O=C1CC(=O)NC(=S)N1,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O
PHENYLBUTANOIC ACID,-6.436,-0.6563778807715956,L5_Weak,Carboxylic_acid,R4,chembl_ml_screen,16,c1ccccc1,O=C(O)CCCc1ccccc1
Biotin_Methyl_Ester,-6.426,-0.5789253865818368,L5_Weak,Biotin_analog,R1-R3,hand_picked,8,O=C1NC2CSCC2N1,C1C2C(C(S1)CCCCC(=O)OC)NC(=O)N2
SULTHIAME,-6.404,-0.6334405448684376,L5_Weak,Other,R4,chembl_ml_screen,16,O=S1(=O)CCCCN1c1ccccc1,NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1
BRIVARACETAM,-6.395,-0.6269894191456741,L5_Weak,Other,R4,chembl_ml_screen,16,O=C1CCCN1,CCC[C@@H]1CC(=O)N([C@@H](CC)C(N)=O)C1
FENOPROFEN,-6.394,-0.6262726273987008,L5_Weak,Profens,R4,chembl_ml_screen,16,c1ccc(Oc2ccccc2)cc1,CC(C(=O)O)c1cccc(Oc2ccccc2)c1
Azelaic_Acid,-6.394,-0.5710957993826504,L5_Weak,Carboxylic_acid,R1-R3,hand_picked,8,,C(CCCCCCC(=O)O)CC(=O)O
ZOLEDRONIC ACID ANHYDROUS,-6.393,-0.6255558356517269,L5_Weak,Carboxylic_acid,R4,chembl_ml_screen,16,c1c[nH]cn1,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
MOLSIDOMINE,-6.393,-0.6255558356517269,L5_Weak,Other,R4,chembl_ml_screen,16,c1c[n+](N2CCOCC2)no1,CCOC(=O)[N-]c1c[n+](N2CCOCC2)no1
ETHOTOIN,-6.392,-0.6248390439047535,L5_Weak,Other,R4,chembl_ml_screen,16,O=C1NC(=O)C(c2ccccc2)N1,CCN1C(=O)NC(c2ccccc2)C1=O
CARTEOLOL,-6.374,-0.6119367924592267,L5_Weak,Other,R4,chembl_ml_screen,16,O=C1CCc2ccccc2N1,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2
DEXMETHYLPHENIDATE,-6.361,-0.6026184997485687,L5_Weak,Other,R4,chembl_ml_screen,16,c1ccc(C[C@H]2CCCCN2)cc1,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1
NITROFURAZONE,-6.36,-0.6019017080015955,L5_Weak,Other,R4,chembl_ml_screen,16,c1ccoc1,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1
PROPAFENONE,-6.357,-0.5997513327606744,L5_Weak,Other,R4,chembl_ml_screen,16,O=C(CCc1ccccc1)c1ccccc1,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1
TYROSINE,-6.356,-0.5990345410137005,L5_Weak,Amino_acid,R4,chembl_ml_screen,16,c1ccccc1,N[C@@H](Cc1ccc(O)cc1)C(=O)O
GABAPENTIN,-6.35,-0.5947337905318582,L5_Weak,Other,R4,chembl_ml_screen,16,C1CCCCC1,NCC1(CC(=O)O)CCCCC1
AZELAIC ACID,-6.349,-0.5940169987848848,L5_Weak,Carboxylic_acid,R4,chembl_ml_screen,16,,O=C(O)CCCCCCCC(=O)O
BENZPHETAMINE,-6.346,-0.5918666235439637,L5_Weak,Other,R4,chembl_ml_screen,16,c1ccc(CCNCc2ccccc2)cc1,C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1
DROXIDOPA,-6.346,-0.5918666235439637,L5_Weak,Amino_acid,R4,chembl_ml_screen,16,c1ccccc1,N[C@H](C(=O)O)[C@H](O)c1ccc(O)c(O)c1
MOLINDONE,-6.343,-0.5897162483030425,L5_Weak,Other,R4,chembl_ml_screen,16,O=C1c2cc[nH]c2CCC1CN1CCOCC1,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2
Sebacic_Acid,-6.334,-0.5564153233841759,L5_Weak,Carboxylic_acid,R1-R3,hand_picked,8,,C(CCCCCCCC(=O)O)CC(=O)O
NITAZOXANIDE,-6.334,-0.5832651225802791,L5_Weak,Other,R4,chembl_ml_screen,16,O=C(Nc1nccs1)c1ccccc1,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1
SECNIDAZOLE,-6.318,-0.5717964546287,L5_Weak,Other,R4,chembl_ml_screen,16,c1c[nH]cn1,Cc1ncc([N+](=O)[O-])n1CC(C)O
PRACTOLOL,-6.309,-0.5653453289059372,L5_Weak,Other,R4,chembl_ml_screen,16,c1ccccc1,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1
Levodopa,-6.308,-0.550053783784837,L5_Weak,Amino_acid,R1-R3,hand_picked,8,c1ccccc1,C1=CC(=C(C=C1CC(C(=O)O)N)O)O
METHYLPHENIDATE,-6.295,-0.5553102444483053,L5_Weak,Other,R4,chembl_ml_screen,16,c1ccc(CC2CCCCN2)cc1,COC(=O)C(c1ccccc1)C1CCCCN1
LEVODOPA,-6.294,-0.5545934527013314,L5_Weak,Amino_acid,R4,chembl_ml_screen,16,c1ccccc1,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
Pantothenic_Acid,-6.283,-0.5439369187854729,L5_Weak,Carboxylic_acid,R1-R3,hand_picked,8,,CC(C)(CO)C(O)C(=O)NCCC(=O)O
ZALCITABINE,-6.27,-0.5373904507739629,L5_Weak,Other,R4,chembl_ml_screen,16,O=c1ncccn1[C@H]1CCCO1,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1
THIOPENTAL,-6.268,-0.5359568672800157,L5_Weak,Other,R4,chembl_ml_screen,16,O=C1CC(=O)NC(=S)N1,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
ROPINIROLE,-6.261,-0.5309393250512,L5_Weak,Other,R4,chembl_ml_screen,16,O=C1Cc2ccccc2N1,CCCN(CCC)CCc1cccc2c1CC(=O)N2
RILUZOLE,-6.25,-0.5230546158344894,L5_Weak,Other,R4,chembl_ml_screen,16,c1ccc2scnc2c1,Nc1nc2ccc(OC(F)(F)F)cc2s1
PROPRANOLOL,-6.239,-0.5151699066177787,L5_Weak,Other,R4,chembl_ml_screen,16,c1ccc2ccccc2c1,CC(C)NCC(O)COc1cccc2ccccc12
LINDANE,-6.238,-0.5144531148708054,L5_Weak,Other,R4,chembl_ml_screen,16,C1CCCCC1,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
ISOSORBIDE MONONITRATE,-6.232,-0.5101523643889632,L5_Weak,Other,R4,chembl_ml_screen,16,C1C[C@H]2OCC[C@H]2O1,O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2O
L-Tyrosine,-6.23,-0.5309691649868206,L5_Weak,Amino_acid,R1-R3,hand_picked,8,c1ccccc1,C1=CC(=CC=C1CC(C(=O)O)N)O
