name,best_affinity,source
2-(cyclohexen-1-yl)-2-phenylacetamide,-8.041,glutarimide
N-acetyl-2-(4-chlorophenyl)acetamide,-8.033,glutarimide
"4-(diethylamino)naphthalene-1,2-dione",-8.03,glutarimide
"5-(1,3-dioxoisoindol-2-yl)pentanoic acid",-8.02,glutarimide
"3-(3-chlorophenyl)piperidine-2,6-dione",-8.018,glutarimide
TOLOXATONE,-8.017,fda_leftover
"3-ethyl-1-methyl-3-phenylpiperidine-2,6-dione",-8.015,pathc_v2
3-[4-(trifluoromethyl)phenyl]propanamide,-8.008,glutarimide
4-(3-fluorophenyl)piperidine-4-carboxamide,-8.008,pathc_v2
N-formyl-2-phenylacetamide,-8.007,glutarimide
1-phenylcyclopentane-1-carboxamide,-8.002,glutarimide
"1,5-dimethyl-5-(3-oxocyclohexen-1-yl)-1,3-dia",-8.001,pathc_v2
"5,5-difluoro-6-(fluoromethyl)-6-(2-fluorophenyl)pi",-8.001,glutarimide
"3-[(2,4-difluorophenyl)methyl]piperidine-2,6-dione",-7.999,glutarimide
"2-(1,3-dioxoisoindol-2-yl)acetic acid",-7.998,glutarimide
"4-(2,4-difluorophenyl)-4-methylpiperidine-2,6-dion",-7.996,glutarimide
"3-amino-4,4,5,5,6,6,6-heptafluoro-1-phenylhex-2-en",-7.992,glutarimide
"5-propan-2-yl-5-propyl-1,3-diazinane-2,4,6-tr",-7.991,pathc_v2
"5-((214C)cyclohexen-1-yl)-1,5-dimethyl-1,3-di",-7.991,pathc_v2
VARENICLINE,-7.987,docking_round5b_results.csv
"3-methyl-3-phenylpyrrolidine-2,5-dione",-7.987,pathc_v2
"5-butyl-1-methyl-5-phenyl-1,3-diazinane-2,4,6",-7.981,pathc_v2
"2,2-difluoro-2-[3-fluoro-4-(4-fluorophenyl)phenyl]",-7.981,glutarimide
"5-benzyl-5-chloro-1,3-diazinane-2,4,6-trione",-7.98,glutarimide
"3-(3,4-dimethyl-2,5-dioxopyrrol-1-yl)piperidine-2,",-7.979,glutarimide
"4-amino-3-chloronaphthalene-1,2-dione",-7.979,glutarimide
"5-(cyclohexen-1-yl)-5-ethyl-1-methyl-1,3-diaz",-7.978,pathc_v2
"4-piperidin-1-ylnaphthalene-1,2-dione",-7.974,glutarimide
"5-(cyclopenten-1-yl)-5-ethyl-1-methyl-1,3-dia",-7.965,pathc_v2
"3-(2,6-difluorophenyl)piperidine-2,6-dione",-7.96,glutarimide
"5-methyl-5-phenyl-1,3-diazinane-2,4,6-trione",-7.96,pathc_v2
