name,best_affinity,all_affinities
CARTEOLOL,-6.374,"[-6.374, -6.251, -5.71, -5.6, -4.921, 0.0, 1.0, 10.0, 16.0]"
DEXMETHYLPHENIDATE,-6.361,"[-6.361, -5.897, -5.727, -5.512, -5.347, 0.0, 1.0, 10.0, 16.0]"
NITROFURAZONE,-6.36,"[-6.36, -5.529, -4.491, -3.981, -3.614, 0.0, 1.0, 10.0, 16.0]"
PROPAFENONE,-6.357,"[-6.357, -6.174, -5.253, -5.234, -5.171, 0.0, 1.0, 10.0, 16.0]"
TYROSINE,-6.356,"[-6.356, -6.245, -6.192, -6.147, -5.824, 0.0, 1.0, 10.0, 16.0]"
GABAPENTIN,-6.35,"[-6.35, -6.325, -6.297, -6.278, -6.141, 0.0, 1.0, 10.0, 16.0]"
AZELAIC ACID,-6.349,"[-6.349, -6.3, -6.215, -6.175, -5.807, 0.0, 1.0, 10.0, 16.0]"
DROXIDOPA,-6.346,"[-6.346, -6.146, -6.03, -6.021, -5.966, 0.0, 1.0, 10.0, 16.0]"
BENZPHETAMINE,-6.346,"[-6.346, -6.125, -5.727, -4.608, -3.564, 0.0, 1.0, 10.0, 16.0]"
MOLINDONE,-6.343,"[-6.343, -4.983, -4.177, -3.991, -3.371, 0.0, 1.0, 10.0, 16.0]"
NITAZOXANIDE,-6.334,"[-6.334, -4.215, -3.241, -1.226, -0.986, 0.0, 1.0, 10.0, 16.0]"
SECNIDAZOLE,-6.318,"[-6.318, -6.174, -6.141, -5.967, -5.933, 0.0, 1.0, 10.0, 16.0]"
PRACTOLOL,-6.309,"[-6.309, -4.362, -4.101, -3.633, -3.507, 0.0, 1.0, 10.0, 16.0]"
METHYLPHENIDATE,-6.295,"[-6.295, -5.995, -5.77, -5.748, -5.518, 0.0, 1.0, 10.0, 16.0]"
LEVODOPA,-6.294,"[-6.294, -6.205, -6.017, -5.879, -5.844, 0.0, 1.0, 10.0, 16.0]"
ZALCITABINE,-6.27,"[-6.27, -6.055, -5.993, -5.759, -5.524, 0.0, 1.0, 10.0, 16.0]"
THIOPENTAL,-6.268,"[-6.268, -6.194, -5.814, -5.811, -5.756, 0.0, 1.0, 10.0, 16.0]"
ROPINIROLE,-6.261,"[-6.261, -6.162, -6.099, -5.901, -5.863, 0.0, 1.0, 10.0, 16.0]"
RILUZOLE,-6.25,"[-6.25, -5.469, -5.196, -4.926, -3.932, 0.0, 1.0, 10.0, 16.0]"
PROPRANOLOL,-6.239,"[-6.239, -6.089, -6.007, -5.8, -5.654, 0.0, 1.0, 10.0, 16.0]"
LINDANE,-6.238,"[-6.238, -5.921, -5.853, -5.755, -5.466, 0.0, 1.0, 10.0, 16.0]"
ISOSORBIDE MONONITRATE,-6.232,"[-6.232, -6.018, -5.935, -5.884, -5.598, 0.0, 1.0, 10.0, 16.0]"
MOXONIDINE,-6.227,"[-6.227, -6.189, -4.39, -4.201, -3.098, 0.0, 1.0, 10.0, 16.0]"
HEXYLCAINE,-6.226,"[-6.226, -5.965, -5.784, -5.62, -5.529, 0.0, 1.0, 10.0, 16.0]"
ACIPIMOX,-6.223,"[-6.223, -5.819, -5.519, -5.406, -5.36, 0.0, 1.0, 10.0, 16.0]"
QUINETHAZONE,-6.222,"[-6.222, -5.699, -3.96, -1.922, -1.513, 0.0, 1.0, 10.0, 16.0]"
PIRFENIDONE,-6.217,"[-6.217, -6.168, -5.732, -5.603, -4.821, 0.0, 1.0, 10.0, 16.0]"
EDARAVONE,-6.209,"[-6.209, -5.957, -5.888, -5.808, -5.521, 0.0, 1.0, 10.0, 16.0]"
STAVUDINE,-6.198,"[-6.198, -6.076, -5.868, -5.397, -5.368, 0.0, 1.0, 10.0, 16.0]"
ETHOSUXIMIDE,-6.196,"[-6.196, -5.928, -5.913, -5.809, -5.786, 0.0, 1.0, 10.0, 16.0]"
HYDROCHLOROTHIAZIDE,-6.152,"[-6.152, -6.082, -5.922, -5.762, -5.684, 0.0, 1.0, 10.0, 16.0]"
OXYBENZONE,-6.144,"[-6.144, -5.739, -4.917, -3.875, -3.096, 0.0, 1.0, 10.0, 16.0]"
MEPERIDINE,-6.141,"[-6.141, -5.799, -5.379, -5.355, -4.949, 0.0, 1.0, 10.0, 16.0]"
LEVOMILNACIPRAN,-6.131,"[-6.131, -5.267, -5.254, -4.914, -4.61, 0.0, 1.0, 10.0, 16.0]"
TOLAZOLINE,-6.127,"[-6.127, -5.803, -5.461, -5.415, -5.134, 0.0, 1.0, 10.0, 16.0]"
TRANEXAMIC ACID,-6.112,"[-6.112, -6.007, -5.49, -5.346, 0.0, 1.0, 10.0, 16.0]"
VILOXAZINE,-6.112,"[-6.112, -5.895, -5.794, -5.621, -5.389, 0.0, 1.0, 10.0, 16.0]"
SULFALENE,-6.106,"[-6.106, -6.079, -5.729, -5.64, -5.619, 0.0, 1.0, 10.0, 16.0]"
ETHOXZOLAMIDE,-6.099,"[-6.099, -5.378, -5.279, -5.231, -1.794, 0.0, 1.0, 10.0, 16.0]"
NEPAFENAC,-6.09,"[-6.09, -5.565, -4.075, -3.435, -3.376, 0.0, 1.0, 10.0, 16.0]"
PRONETALOL,-6.077,"[-6.077, -5.308, -5.216, -5.215, -5.202, 0.0, 1.0, 10.0, 16.0]"
TELBIVUDINE,-6.077,"[-6.077, -5.525, -5.31, -5.3, -5.234, 0.0, 1.0, 10.0, 16.0]"
URACIL MUSTARD,-6.054,"[-6.054, -6.008, -5.93, -5.815, -5.807, 0.0, 1.0, 10.0, 16.0]"
PHENDIMETRAZINE,-6.053,"[-6.053, -5.876, -5.198, -5.186, -4.927, 0.0, 1.0, 10.0, 16.0]"
