name,smiles,ml_score
ISOPROTERENOL HYDROCHLORIDE,CC(C)NCC(O)c1ccc(O)c(O)c1.Cl,-4.736563877183088
ACAMPROSATE,CC(=O)NCCCS(=O)(=O)O,-4.735590736725058
MEPHENESIN,Cc1ccccc1OCC(O)CO,-4.728952364247121
VILOXAZINE HYDROCHLORIDE,CCOc1ccccc1OCC1CNCCO1.Cl,-4.72447015907051
PREGABALIN,CC(C)C[C@H](CN)CC(=O)O,-4.721429393556856
OXPRENOLOL,C=CCOc1ccccc1OCC(O)CNC(C)C,-4.7213208303278655
IBUPROFEN,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-4.7184180485740885
DEXIBUPROFEN,CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,-4.7184180485740885
LOFEXIDINE HYDROCHLORIDE,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1.Cl,-4.717586142534133
PANTOTHENIC ACID,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O,-4.713704500307991
LIDOCAINE,CCN(CC)CC(=O)Nc1c(C)cccc1C,-4.713108268620053
MELPHALAN HYDROCHLORIDE,Cl.N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,-4.712959689040115
ARGININE HYDROCHLORIDE,Cl.N=C(N)NCCC[C@H](N)C(=O)O,-4.712547758332456
TERBUTALINE,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,-4.711497096322269
EFLORNITHINE HYDROCHLORIDE,Cl.NCCCC(N)(C(=O)O)C(F)F.O,-4.710128111177643
CHLORPHENTERMINE HYDROCHLORIDE,CC(C)(N)Cc1ccc(Cl)cc1.Cl,-4.70993511070719
DEXMETHYLPHENIDATE HYDROCHLORIDE,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1.Cl,-4.707243075713749
METHYLPHENIDATE HYDROCHLORIDE,COC(=O)C(c1ccccc1)C1CCCCN1.Cl,-4.707243075713749
BENZPHETAMINE HYDROCHLORIDE,C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1.Cl,-4.705980382190561
PROGUANIL,CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,-4.697850171404183
BARIUM SULFATE,O=S(=O)([O-])[O-].[Ba+2],-4.696765750982967
METHACHOLINE,CC(=O)OC(C)C[N+](C)(C)C,-4.696614854356695
MEPROBAMATE,CCCC(C)(COC(N)=O)COC(N)=O,-4.696202211954066
ZINC SULFATE,O=S(=O)([O-])[O-].[Zn+2],-4.695150167649634
PROGUANIL HYDROCHLORIDE,CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1.Cl,-4.6943709214041816
METHOCARBAMOL,COc1ccccc1OCC(O)COC(N)=O,-4.6941986197557855
ACETARSONE,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,-4.693746356554942
MAGNESIUM SULFATE ANHYDROUS,O=S(=O)([O-])[O-].[Mg+2],-4.693641167649633
METHACHOLINE CHLORIDE,CC(=O)OC(C)C[N+](C)(C)C.[Cl-],-4.690320780552352
CLOBUTINOL,CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1,-4.6879595445286695
TAPENTADOL HYDROCHLORIDE,CC[C@@H](c1cccc(O)c1)[C@@H](C)CN(C)C.Cl,-4.684969372623588
