name,best_affinity,all_affinities
"(10bR)-7-(trifluoromethyl)-2,3,4,10b-tetrahydro-1H",-8.323,"[-8.323, -8.164, -7.819, -7.776, -7.228, 0.0, 1.0, 10.0, 16.0]"
"(1S,10bR)-1-ethyl-7-(trifluoromethyl)-2,3,4,10b-te",-8.311,"[-8.311, -8.148, -6.279, -5.965, -5.564, 0.0, 1.0, 10.0, 16.0]"
"3-amino-4-phenylcyclobut-3-ene-1,2-dione",-8.311,"[-8.311, -7.915, -7.805, -7.61, -7.318, 0.0, 1.0, 10.0, 16.0]"
2-phenyl-N-(trifluoromethyl)acetamide,-8.31,"[-8.31, -8.05, -7.549, -7.502, -7.467, 0.0, 1.0, 10.0, 16.0]"
2-(2-phenylphenyl)-N-(trifluoromethyl)acetamide,-8.301,"[-8.301, -8.149, -8.061, -7.865, -7.739, 0.0, 1.0, 10.0, 16.0]"
"3-chloro-3-[(4-chlorophenyl)methyl]piperidine-2,6-",-8.295,"[-8.295, -7.144, -6.667, -6.654, -6.608, 0.0, 1.0, 10.0, 16.0]"
"3-[4-(bromomethyl)-3-fluorophenyl]piperidine-2,6-d",-8.288,"[-8.288, -7.194, -6.191, -5.537, -5.379, 0.0, 1.0, 10.0, 16.0]"
3-phenylpentanediamide,-8.278,"[-8.278, -8.229, -8.137, -7.736, -7.635, 0.0, 1.0, 10.0, 16.0]"
"N-[(3R)-2,6-dioxopiperidin-3-yl]-2-phenylacetamide",-8.27,"[-8.27, -8.202, -7.454, -6.565, -6.422, 0.0, 1.0, 10.0, 16.0]"
"3-(5-amino-3-oxo-1H-isoindol-2-yl)piperidine-2,6-d",-8.269,"[-8.269, -6.693, -6.426, -6.262, -5.178, 0.0, 1.0, 10.0, 16.0]"
"5-[1-(2,3-difluorophenyl)-2,2,2-trifluoroethyl]pip",-8.268,"[-8.268, -8.17, -8.064, -7.874, -7.711, 0.0, 1.0, 10.0, 16.0]"
"2-(5-diazo-4-oxopentyl)isoindole-1,3-dione",-8.26,"[-8.26, -7.68, -7.228, -7.033, -6.751, 0.0, 1.0, 10.0, 16.0]"
"2-(3,4-difluorophenyl)-2,2-diphenylacetamide",-8.249,"[-8.249, -7.256, -7.175, -6.529, -5.267, 0.0, 1.0, 10.0, 16.0]"
2-phenyl-2-prop-2-enylpent-4-enamide,-8.226,"[-8.226, -7.112, -6.962, -6.487, -6.385, 0.0, 1.0, 10.0, 16.0]"
"3-[3-(trifluoromethyl)phenyl]pyrrolidine-2,5-dione",-8.224,"[-8.224, -7.154, -6.846, -6.478, -6.303, 0.0, 1.0, 10.0, 16.0]"
"2-(2-aminoacetyl)naphthalene-1,4-dione",-8.22,"[-8.22, -7.358, -7.226, -6.815, -6.658, 0.0, 1.0, 10.0, 16.0]"
"N-[(3S)-2,6-dioxopiperidin-3-yl]-2-phenylacetamide",-8.216,"[-8.216, -6.777, -6.577, -5.93, -5.723, 0.0, 1.0, 10.0, 16.0]"
"4-(2,5-difluorophenyl)piperidine-4-carboxamide",-8.214,"[-8.214, -7.528, -7.4, -7.24, -7.209, 0.0, 1.0, 10.0, 16.0]"
"3-(1,3-dioxoisoindol-2-yl)propanenitrile",-8.203,"[-8.203, -7.913, -7.888, -7.744, 0.0, 1.0, 10.0, 16.0]"
"4-(3-chloro-4-fluorophenyl)-4-methylpiperidine-2,6",-8.202,"[-8.202, -7.423, -6.97, -6.24, -5.811, 0.0, 1.0, 10.0, 16.0]"
"3-(4-chlorophenyl)piperidine-2,6-dione",-8.195,"[-8.195, -8.065, -7.657, -7.618, -7.448, 0.0, 1.0, 10.0, 16.0]"
"3-[3-ethenyl-2,5-dioxo-4-[(Z)-prop-1-enyl]pyrrol-1",-8.191,"[-8.191, -6.582, -6.407, -5.972, -5.672, 0.0, 1.0, 10.0, 16.0]"
"6-(difluoromethyl)-5,5-difluoro-6-(2-fluorophenyl)",-8.19,"[-8.19, -7.831, -6.068, -5.979, -5.669, 0.0, 1.0, 10.0, 16.0]"
2-[[(2-oxo-1H-pyridin-3-yl)amino]methyl]isoindole-,-8.186,"[-8.186, -7.919, -7.746, -7.427, -7.391, 0.0, 1.0, 10.0, 16.0]"
"3-(3-fluorophenyl)piperidine-2,6-dione",-8.182,"[-8.182, -7.599, -6.943, -6.742, -6.674, 0.0, 1.0, 10.0, 16.0]"
"5-[(2,4-difluorophenyl)methyl]piperidin-2-one",-8.165,"[-8.165, -7.312, -7.245, -7.159, -6.973, 0.0, 1.0, 10.0, 16.0]"
"3-[fluoro(phenyl)methyl]pyrrole-2,5-dione",-8.158,"[-8.158, -7.502, -7.416, -7.412, -7.228, 0.0, 1.0, 10.0, 16.0]"
"2,2-bis(2-fluorophenyl)-2-phenylacetamide",-8.157,"[-8.157, -6.675, -5.781, -5.419, -5.201, 0.0, 1.0, 10.0, 16.0]"
"5-[(4-chlorophenyl)methyl]-1,3-diazinane-2,4,6-tri",-8.154,"[-8.154, -7.704, -7.601, -6.837, -5.881, 0.0, 1.0, 10.0, 16.0]"
"6-phenyl-6-(trifluoromethyl)cyclohexa-2,4-diene-1-",-8.139,"[-8.139, -7.98, -7.535, -7.405, -7.307, 0.0, 1.0, 10.0, 16.0]"
"4-ethyl-4-(3-fluorophenyl)piperidine-2,6-dione",-8.136,"[-8.136, -7.437, -7.218, -6.583, -6.378, 0.0, 1.0, 10.0, 16.0]"
"5-chloro-1-methyl-5-phenyl-1,3-diazinane-2,4,6-tri",-8.135,"[-8.135, -7.728, -6.882, -6.466, -5.814, 0.0, 1.0, 10.0, 16.0]"
"6-(4-chlorophenyl)-3-azabicyclo[3.1.1]heptane-2,4-",-8.133,"[-8.133, -7.815, -6.725, -6.622, -6.45, 0.0, 1.0, 10.0, 16.0]"
"2,11-diazatricyclo[7.3.1.05,13]trideca-5(13),6,8-t",-8.13,"[-8.13, -7.863, -7.532, -7.337, -7.287, 0.0, 1.0, 10.0, 16.0]"
"6-(trifluoromethyl)-4H-isoquinoline-1,3-dione",-8.12,"[-8.12, -7.711, -7.668, -7.486, -6.93, 0.0, 1.0, 10.0, 16.0]"
2-[1-(cyclopropylmethyl)piperidin-4-yl]-3-oxo-1H-i,-8.105,"[-8.105, -6.864, -5.621, -4.614, 0.0, 1.0, 10.0, 16.0, 16.46]"
"(3R)-3-(2,6-difluorophenyl)piperidine-2,6-dione",-8.097,"[-8.097, -7.02, -7.015, -6.928, -6.918, 0.0, 1.0, 10.0, 16.0]"
"2-(trifluoromethyl)naphthalene-1,4-dione",-8.088,"[-8.088, -7.598, -7.495, -7.418, -5.568, 0.0, 1.0, 10.0, 16.0]"
"2-azido-3-(3-methylbut-2-enyl)naphthalene-1,4-dion",-8.086,"[-8.086, -7.573, -7.54, -7.33, -6.692, 0.0, 1.0, 10.0, 16.0]"
"2-ethylnaphthalene-1,4-dione",-8.078,"[-8.078, -7.485, -7.44, -6.892, -6.842, 0.0, 1.0, 10.0, 16.0]"
"3-[(3-chloro-4-fluorophenyl)methyl]piperidine-2,6-",-8.072,"[-8.072, -7.854, -7.691, -7.329, -6.346, 0.0, 1.0, 10.0, 16.0]"
