name,best_affinity,z_score,hit_level,substructure,family,MW,LogP,HBA,HBD,TPSA,RotBonds,Rings,Carboxyl_count,Amide_count,Urea_count,smiles
TROPICAMIDE,-6.826,-0.9359266620913343,L4_BiotinLike,Carbonyl,Other,284.359,2.2062,3,1,53.43000000000001,6,2,0,1,0,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1
BIOTIN,-6.816,-0.9287587446215976,L4_BiotinLike,Biotin_analog,Biotin_analog,244.31600000000003,0.7968000000000001,3,3,78.43,5,2,1,2,1,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21
BENZYL BENZOATE,-6.8,-0.9172900766700186,L4_BiotinLike,Small_acid,Other,212.248,3.0436000000000014,2,0,26.3,3,2,1,0,0,O=C(OCc1ccccc1)c1ccccc1
LOFEXIDINE,-6.783,-0.9051046169714664,L4_BiotinLike,Imidazoline,Other,259.13599999999997,2.7624000000000004,3,1,33.62,3,2,0,0,0,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1
SOLRIAMFETOL,-6.763,-0.8907687820319922,L4_BiotinLike,Small_acid,Other,194.23400000000004,0.6517000000000001,3,2,78.34,4,1,1,1,0,NC(=O)OC[C@H](N)Cc1ccccc1
Biotin,-6.762,-0.6611360521732931,L4_BiotinLike,Biotin_analog,Biotin_analog,244.316,0.7968,3,3,78.43,5,2,1,2,1,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2
Flufenamic_Acid,-6.741,-0.6559978855738271,L5_Weak,Fenamate,Fenamate,281.233,4.1472000000000016,2,2,49.33,3,2,1,0,0,FC(F)(F)C1=CC=CC(=C1)NC2=CC=CC=C2C(=O)O
Norbiotin,-6.739,-0.655508536373878,L5_Weak,Biotin_analog,Biotin_analog,230.28900000000002,0.4067000000000001,3,3,78.43,4,2,1,2,1,C1C2C(C(S1)CCCC(=O)O)NC(=O)N2
MONOBENZONE,-6.736,-0.8714154048637025,L5_Weak,Other,Other,200.23700000000002,2.9712000000000014,2,1,29.46,3,2,0,0,0,Oc1ccc(OCc2ccccc2)cc1
SULFADIAZINE,-6.731,-0.8678314461288341,L5_Weak,Sulfonamide,Other,250.28300000000004,0.8596000000000001,5,2,97.97,3,2,0,0,0,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
L-Phenylalanine,-6.721,-0.6511043935743357,L5_Weak,Amino_acid,Amino_acid,165.19199999999998,0.641,2,2,63.31999999999999,3,1,1,0,0,C1=CC=C(C=C1)CC(C(=O)O)N
Niflumic_Acid,-6.72,-0.6508597189743611,L5_Weak,Carboxylic_acid,Fenamate,282.22100000000006,3.542200000000002,3,2,62.22,3,2,1,0,0,FC(F)(F)C1=CC=NC(=C1)NC2=CC=CC=C2C(=O)O
TICLOPIDINE,-6.706,-0.8499116524544922,L5_Weak,Other,Other,263.793,3.959800000000002,2,0,3.24,2,3,0,0,0,Clc1ccccc1CN1CCc2sccc2C1
CHLORZOXAZONE,-6.699,-0.844894110225676,L5_Weak,N-heterocycle,Other,169.56699999999998,1.7745,2,1,46.0,0,2,0,0,0,O=c1[nH]c2cc(Cl)ccc2o1
COUMARIN,-6.687,-0.836292609261992,L5_Weak,Other,Other,146.14499999999998,1.793,2,0,30.21,0,2,0,0,0,O=c1ccc2ccccc2o1
DIAZOXIDE,-6.682,-0.8327086505271236,L5_Weak,Sulfonamide,Other,230.676,1.6818,3,1,58.53,0,2,0,0,0,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1
Aspirin,-6.676,-0.64009403657548,L5_Weak,Salicylate,Other,180.15899999999996,1.3101,3,1,63.60000000000001,2,1,2,0,0,CC(=O)OC1=CC=CC=C1C(=O)O
KETAMINE,-6.665,-0.8205231908285707,L5_Weak,Carbonyl,Other,237.7299999999999,2.897800000000001,2,1,29.1,2,2,0,0,0,CNC1(c2ccccc2Cl)CCCCC1=O
PHENSUXIMIDE,-6.651,-0.8104881063709388,L5_Weak,Succinimide,Other,189.214,1.1588999999999998,2,0,37.38,1,2,0,2,0,CN1C(=O)CC(c2ccccc2)C1=O
ETOMIDATE,-6.637,-0.800453021913307,L5_Weak,Small_acid,Other,244.294,2.669100000000001,3,0,44.12,4,2,1,0,0,CCOC(=O)c1cncn1[C@H](C)c1ccccc1
ACYCLOVIR,-6.632,-0.7968690631784386,L5_Weak,N-heterocycle,Other,225.20799999999997,-1.3318000000000003,6,3,119.04999999999998,4,2,0,0,0,Nc1nc2c(ncn2COCCO)c(=O)[nH]1
LOMUSTINE,-6.629,-0.7947186879375175,L5_Weak,Carbonyl,Other,233.69899999999996,2.2509000000000006,3,1,61.77,4,1,0,2,1,O=NN(CCCl)C(=O)NC1CCCCC1
MELATONIN,-6.609,-0.780382852998044,L5_Weak,Carbonyl,Other,232.28299999999996,1.8550999999999997,2,2,54.12,4,2,0,1,0,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
CLAVULANIC ACID,-6.603,-0.7760821025162017,L5_Weak,Amino_acid,Carboxylic_acid,199.16199999999998,-1.0956,4,2,87.07000000000001,2,2,1,1,0,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21
NAPHAZOLINE,-6.603,-0.7760821025162017,L5_Weak,Imidazoline,Other,210.28000000000003,2.3840000000000003,2,1,24.39,2,3,0,0,0,c1ccc2c(CC3=NCCN3)cccc2c1
NICOTINE,-6.603,-0.7760821025162017,L5_Weak,N-heterocycle,Other,162.236,1.8483,2,0,16.130000000000003,1,2,0,0,0,CN1CCC[C@H]1c1cccnc1
CLOBENZOREX,-6.597,-0.77178135203436,L5_Weak,Other,Other,259.78,4.060800000000003,1,1,12.03,5,2,0,0,0,CC(Cc1ccccc1)NCc1ccccc1Cl
FENCLOFENAC,-6.593,-0.7689141850464649,L5_Weak,Carboxylic_acid,Other,297.13699999999994,4.4128000000000025,2,1,46.53,4,2,1,0,0,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl
NITISINONE,-6.583,-0.7617462675767283,L5_Weak,Carbonyl,Other,329.2300000000001,2.7346000000000013,5,0,94.35,3,2,0,0,0,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-]
