"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015747","urate transport","2/25","12/18842",0.166666666666667,125.613333333333,15.7389865041875,0.000110644336489248,0.0185882485301937,0.0185882485301937,"9963/116085",2
"GO:0070837","dehydroascorbic acid transport","2/25","13/18842",0.153846153846154,115.950769230769,15.1118180850097,0.000130655131731136,0.0213403381827523,0.0213403381827523,"6513/9963",2
"GO:0046459","short-chain fatty acid metabolic process","2/25","14/18842",0.142857142857143,107.668571428571,14.5527540130952,0.00015230701269112,0.0242044658006428,0.0242044658006428,"5095/5096",2
"GO:0005996","monosaccharide metabolic process","4/25","220/18842",0.0181818181818182,13.7032727272727,6.90813137273001,0.000188691265540083,0.0291974905625181,0.0291974905625181,"5091/32/6513/9963",4
"GO:0006835","dicarboxylic acid transport","3/25","88/18842",0.0340909090909091,25.6936363636364,8.46303652809786,0.000210180743160915,0.0316887889688763,0.0316887889688763,"5172/6566/10560",3
"GO:0015936","coenzyme A metabolic process","2/25","18/18842",0.111111111111111,83.7422222222222,12.8013055217688,0.000255244687974418,0.0375209691322394,0.0375209691322394,"47/64087",2
"GO:0009062","fatty acid catabolic process","3/25","98/18842",0.0306122448979592,23.0718367346939,7.98485734781832,0.000288776560422226,0.0414147847629924,0.0414147847629924,"32/5095/5096",3
"GO:0015749","monosaccharide transmembrane transport","3/25","101/18842",0.0297029702970297,22.3865346534653,7.85509628809909,0.000315580167143798,0.0432734252722076,0.0432734252722076,"6513/9963/6526",3
"GO:1902001","fatty acid transmembrane transport","2/25","20/18842",0.1,75.368,12.1287208886144,0.000316455320868185,0.0432734252722076,0.0432734252722076,"6513/160728",2
"GO:0006520","amino acid metabolic process","4/25","271/18842",0.014760147601476,11.1244280442804,6.119053991889,0.000417254096367816,0.0549268356963538,0.0549268356963538,"56922/5095/5096/64087",4
"GO:0009083","branched-chain amino acid catabolic process","2/25","23/18842",0.0869565217391304,65.5373913043478,11.2881777683462,0.000420358436451687,0.0549268356963538,0.0549268356963538,"56922/64087",2
"GO:0034219","carbohydrate transmembrane transport","3/25","113/18842",0.0265486725663717,20.009203539823,7.38741734007578,0.000438746984591505,0.0560833102043054,0.0560833102043054,"6513/9963/6526",3
"GO:0008643","carbohydrate transport","3/25","116/18842",0.0258620689655172,19.491724137931,7.2816647113194,0.000473713681190112,0.0592646052212311,0.0592646052212311,"6513/9963/6526",3
"GO:0046949","fatty-acyl-CoA biosynthetic process","2/25","28/18842",0.0714285714285714,53.8342857142857,10.1976727933852,0.000625497482406889,0.0766234415948439,0.0766234415948439,"31/2194",2
"GO:0098656","monoatomic anion transmembrane transport","3/25","141/18842",0.0212765957446809,16.0357446808511,6.53204052296651,0.000836227042883966,0.100347245146076,0.100347245146076,"5172/6528/8884",3
"GO:0007584","response to nutrient","3/25","149/18842",0.0201342281879195,15.1747651006711,6.33164108546262,0.000981049138019903,0.115371378631141,0.115371378631141,"3141/6566/2194",3
"GO:0072337","modified amino acid transport","2/25","40/18842",0.05,37.684,8.46547717195541,0.00127818431977227,0.14736713333845,0.14736713333845,"8884/10560",2
"GO:0035337","fatty-acyl-CoA metabolic process","2/25","45/18842",0.0444444444444444,33.4968888888889,7.95519003008289,0.00161573633714571,0.182702493508015,0.182702493508015,"31/2194",2
