gene,distance,Z,FC,p.value,p.adj
CA2,8.39632989535041e-07,0.487370251742076,0.244844829908576,0.62072861380923,0.999999999992859
HLA-DPA1,8.31691300894508e-07,0.48214161162486,0.240234993309376,0.624036441733404,0.999999999992859
CCNI,8.3051346735804e-07,0.481362694527164,0.239555037967716,0.624527674617024,0.999999999992859
MORF4L2,8.2865529349655e-07,0.480132029426131,0.238484286054497,0.625302992804359,0.999999999992859
EIF4B,8.24505179951571e-07,0.477375286552879,0.236101489617094,0.62703611331457,0.999999999992859
RPL34,8.24178220633555e-07,0.477157621955191,0.235914273628968,0.627172741813385,0.999999999992859
CD74,8.19890063867911e-07,0.474296369328833,0.233465760395446,0.628965842426399,0.999999999992859
KRT20,8.14766736731847e-07,0.470861841696114,0.23055711603543,0.631111042724244,0.999999999992859
MT-ND2,8.09234034362389e-07,0.467133085863219,0.2274365348233,0.633431148283306,0.999999999992859
PFDN5,8.02800314032981e-07,0.462770909713894,0.223834495746472,0.636133629377318,0.999999999992859
EIF3G,7.91588531991635e-07,0.455100663337518,0.217626079250675,0.64085471051634,0.999999999992859
ACTN4,7.87739754371995e-07,0.452447235735859,0.215514987140794,0.642478730495397,0.999999999992859
OAZ1,7.82845956647381e-07,0.449058070360514,0.212845550563826,0.644546174377783,0.999999999992859
HSP90B1,7.81652900521977e-07,0.448229214419515,0.212197292279716,0.645050613185977,0.999999999992859
ATP5F1,7.76987069062307e-07,0.444977786100404,0.209671562956429,0.647024951425701,0.999999999992859
CEACAM6,7.76887156299473e-07,0.444907987377434,0.20961764309323,0.647067256577534,0.999999999992859
TACSTD2,7.75891747085329e-07,0.444212198580778,0.209080829840904,0.647488795904521,0.999999999992859
DYNLT1,7.74048838952514e-07,0.44292209018392,0.208088786405741,0.648269535409127,0.999999999992859
ANXA11,7.70763981421101e-07,0.440616348691334,0.206326386935361,0.649662109045157,0.999999999992859
LDHB,7.68543161067764e-07,0.439052952215561,0.205139113737808,0.65060429198219,0.999999999992859
TOMM20,7.68403096013091e-07,0.438954227074285,0.205064348378113,0.650663733317501,0.999999999992859
KPNB1,7.61560896274969e-07,0.434113560753679,0.201428641112626,0.653570150934439,0.999999999992859
CD164,7.61190412383258e-07,0.433850445073733,0.20123270690646,0.65372767502035,0.999999999992859
RPS4X,7.59674704676794e-07,0.432772910980442,0.200432102256973,0.654372291382016,0.999999999992859
CNBP,7.44624542763436e-07,0.421977524473954,0.192569118822541,0.660786908961888,0.999999999992859
SSU72,7.36235072901913e-07,0.415882509596476,0.188254321921165,0.66437351887092,0.999999999992859
ANXA1,7.36198208122975e-07,0.415855602595,0.188235469843973,0.664389296102887,0.999999999992859
EIF3L,7.35879048726864e-07,0.415622607500937,0.188072296133983,0.664525894806,0.999999999992859
CLDN4,7.35214988114199e-07,0.415137561394031,0.187733014690584,0.664810145295498,0.999999999992859
HSPA8,7.30259941659463e-07,0.411506974595237,0.185211055388066,0.666932667374265,0.999999999992859
MGST1,7.26429386598549e-07,0.408686543083432,0.183273114177368,0.668575337227788,0.999999999992859
FOSB,7.20824840264862e-07,0.404538035865997,0.180456046758276,0.670981613781262,0.999999999992859
C19orf10,7.17277121678751e-07,0.401898413651499,0.1786840994951,0.672506551920058,0.999999999992859
HMGA1,7.16238659354063e-07,0.401123752663914,0.178167082078178,0.672953176038121,0.999999999992859
MRPS35,7.11404044729708e-07,0.397505199492489,0.175769942392436,0.675033974382605,0.999999999992859
CD9,7.10977478964631e-07,0.39718496893562,0.175559218368988,0.675217686142444,0.999999999992859
CDC42,7.10872629823346e-07,0.397106232869319,0.175507442112886,0.675262845144524,0.999999999992859
CHMP4B,7.02393477323666e-07,0.390707332429544,0.171345573743241,0.678918712055491,0.999999999992859
IER2,7.01399690421863e-07,0.389953249020132,0.170861057497948,0.679347689744835,0.999999999992859
RPS26,7.01098026535225e-07,0.389724175073023,0.170714118377662,0.679477926421812,0.999999999992859
TAGLN2,6.90485405637394e-07,0.381613772031374,0.165584986678127,0.684065753185829,0.999999999992859
HDLBP,6.8368150246633e-07,0.376360550874245,0.162337782773444,0.687013234280971,0.999999999992859
IDH2,6.7180786871184e-07,0.367090255232686,0.156748041384143,0.692168336672477,0.999999999992859
MDK,6.6576724512182e-07,0.362322786480966,0.153941884777787,0.694796458995407,0.999999999992859
ZNF706,6.65517899204853e-07,0.362125238716227,0.153826596461376,0.694905022226445,0.999999999992859
SEC61B,6.65495272198158e-07,0.362107309175197,0.153816136708865,0.694914874155066,0.999999999992859
ATP5E,6.62688442353815e-07,0.359879331891861,0.152521385912684,0.696137383126614,0.999999999992859
TUBA1C,6.59060775040963e-07,0.356988393357812,0.150856101319786,0.697718576094537,0.999999999992859
C19orf53,6.57104400493058e-07,0.355423952414134,0.149961819606956,0.698571847519065,0.999999999992859
UBC,6.54829660861379e-07,0.353600153401753,0.148925352194237,0.699564452701507,0.999999999992859
APLP2,6.54327750166064e-07,0.353197046486342,0.148697144507299,0.699783535630369,0.999999999992859
GTF3A,6.52260219075135e-07,0.351533861881552,0.147758928897578,0.700686271780571,0.999999999992859
YWHAZ,6.51486097684788e-07,0.350910031164262,0.147408407840521,0.701024381555213,0.999999999992859
RPS29,6.48510270326363e-07,0.348506310556399,0.146064833127964,0.702324672194112,0.999999999992859
SRM,6.4617285873075e-07,0.346611967077305,0.145013813968039,0.703346617944195,0.999999999992859
CD81,6.44487667213413e-07,0.345242749489249,0.144258420470179,0.704083737622666,0.999999999992859
EIF3M,6.43375049518745e-07,0.344337150249216,0.143760766488162,0.704570560220913,0.999999999992859
PSMB7,6.43172880457291e-07,0.3441724608244,0.143670432202305,0.704659031699644,0.999999999992859
RWDD1,6.37862812843688e-07,0.339831654061652,0.1413079245065,0.706984205042826,0.999999999992859
HINT1,6.36643573123955e-07,0.338830816044091,0.140768236125052,0.707518473001205,0.999999999992859
ISG15,6.30882494142153e-07,0.334080509120758,0.138232099306024,0.710044908620173,0.999999999992859
EGR1,6.2720692119525e-07,0.33103133140793,0.136626088344525,0.711658445572776,0.999999999992859
ARPC5,6.25325758212336e-07,0.329465128759011,0.135807760290079,0.712484756277582,0.999999999992859
MDH2,6.2082596926357e-07,0.325703118449809,0.133860271265136,0.714462680361106,0.999999999992859
ELF3,6.18975616637967e-07,0.324149705860877,0.133063527564397,0.715276577833954,0.999999999992859
PSMB8,6.18221984276559e-07,0.32351593135008,0.132739702426989,0.715608163970223,0.999999999992859
C14orf156,6.18166584583216e-07,0.323469317631938,0.132715913530745,0.715632541063556,0.999999999992859
ATP1B3,6.135984843545e-07,0.319613933703397,0.130761684509708,0.717643601969685,0.999999999992859
MZT2B,6.10774349315503e-07,0.317218721267678,0.129560772759075,0.718887880050996,0.999999999992859
FABP1,5.99818520910128e-07,0.307840675581395,0.124954440258328,0.723721908753126,0.999999999992859
EIF4EBP1,5.99814051727168e-07,0.307836821676807,0.124952578221211,0.723723882951823,0.999999999992859
KLK10,5.97207573424882e-07,0.305585189125587,0.123868980556019,0.724875570798221,0.999999999992859
PSME1,5.96056708286778e-07,0.304588456722622,0.123392030366286,0.725384285707252,0.999999999992859
PTMS,5.95470928913176e-07,0.304080527852568,0.12314962058166,0.725643263304262,0.999999999992859
HNRNPA3,5.95082725984003e-07,0.303743693295811,0.122989104063421,0.725814908113437,0.999999999992859
TSTD1,5.94228716393389e-07,0.30300205937168,0.122636351404977,0.72619255886146,0.999999999992859
PPP1CA,5.93840018968232e-07,0.302664221793391,0.122475965875811,0.7263644664193,0.999999999992859
HN1,5.92730915779187e-07,0.30169925096493,0.122018901250383,0.726855060511589,0.999999999992859
RPL35,5.85648188110053e-07,0.295502057692764,0.119120239589588,0.729990626168724,0.999999999992859
CLIC1,5.83141306803759e-07,0.293293987329977,0.118102628053696,0.731101523047424,0.999999999992859
DSP,5.79537076613058e-07,0.290105791398749,0.116647222363418,0.732699686108768,0.999999999992859
RBX1,5.67514307383107e-07,0.279352776047044,0.111857621375994,0.738039091187477,0.999999999992859
IER3,5.64052940089107e-07,0.27622261817934,0.110497304754682,0.739578670270239,0.999999999992859
DAD1,5.61780301552209e-07,0.274158930951851,0.109608684138881,0.74059008382042,0.999999999992859
MRPL12,5.6129130792969e-07,0.273714008503207,0.109417952564329,0.740807763916233,0.999999999992859
PLA2G2A,5.58736941077336e-07,0.271384716230721,0.108424323705741,0.741945201222215,0.999999999992859
VAMP8,5.56924660482126e-07,0.269726861358213,0.107722109070616,0.742752536108886,0.999999999992859
AES,5.55656215014903e-07,0.268563887285047,0.107231974493329,0.743317771720157,0.999999999992859
SEC11A,5.51796781032772e-07,0.265012027997771,0.105747540575003,0.745038435010236,0.999999999992859
MT-CO2,5.48952205150327e-07,0.262381183923608,0.104660069365438,0.746307456426113,0.999999999992859
NDUFV2,5.48891750704051e-07,0.262325151537539,0.104637018840873,0.746334433829239,0.999999999992859
RPL41,5.47403848568362e-07,0.260944499445253,0.104070500482267,0.746998498387328,0.999999999992859
NENF,5.44130332456006e-07,0.257896158689721,0.10282952336589,0.748460159781783,0.999999999992859
RBM8A,5.34208036984989e-07,0.248564301920755,0.0991134937689757,0.752896080827431,0.999999999992859
UQCRH,5.3341039433145e-07,0.247808015284754,0.0988177358493794,0.753253036513526,0.999999999992859
TOMM22,5.28919814178806e-07,0.243533002933242,0.0971609211686975,0.755263613201408,0.999999999992859
POLR2L,5.27679478820896e-07,0.242347004520952,0.0967057639968814,0.755819244079998,0.999999999992859
TMEM141,5.24568888864557e-07,0.239362673904321,0.0955689930216724,0.75721324468733,0.999999999992859
SLC25A39,5.23991099425478e-07,0.238806751833581,0.0953585789253192,0.75747226626409,0.999999999992859
HSPB1,5.22486314137568e-07,0.237356572516176,0.0948116683186753,0.75814698556036,0.999999999992859
CISD3,5.19983411960595e-07,0.234936950169049,0.093905478292292,0.759269650839265,0.999999999992859
UBB,5.18773995538998e-07,0.233764376986767,0.0934691614824065,0.759812311043637,0.999999999992859
COX17,5.17466099044021e-07,0.232493817372364,0.0929984598349551,0.760399291944295,0.999999999992859
MUC5AC,5.16744179017878e-07,0.231791386421627,0.0927391554331736,0.760723347094051,0.999999999992859
CCT4,5.15751455620435e-07,0.230824157421351,0.0923831731105763,0.761169028900757,0.999999999992859
DNAJC15,5.1412275949576e-07,0.229234001299871,0.0918006190977631,0.76190040141213,0.999999999992859
BACE2,4.99625289700433e-07,0.214895904583554,0.0866963425725542,0.76841985124074,0.999999999992859
TM9SF3,4.98708636099598e-07,0.213977998897621,0.0863785139331006,0.76883262295844,0.999999999992859
C9orf16,4.98401194031509e-07,0.213669829400118,0.0862720461427006,0.768971079676924,0.999999999992859
RPS10,4.96827505235131e-07,0.212089990215604,0.0857281027641713,0.76967990666254,0.999999999992859
PGK1,4.95922407420729e-07,0.21117950949503,0.0854160361392577,0.770087671548771,0.999999999992859
CYBA,4.92581309397303e-07,0.207806787514814,0.0842689937323838,0.77159345348285,0.999999999992859
C14orf166,4.88166992864191e-07,0.203322023582744,0.0827653914137473,0.773584237912199,0.999999999992859
EIF4A1,4.87160797689811e-07,0.202295154406484,0.082424555947762,0.774038224486159,0.999999999992859
BRK1,4.83276614565552e-07,0.19831490035229,0.081115436790113,0.775791458153942,0.999999999992859
TMA7,4.81020798841747e-07,0.195991324307066,0.0803599505277584,0.776810208467113,0.999999999992859
ATF3,4.80113916064349e-07,0.195054700839789,0.0800572261687915,0.777219874661978,0.999999999992859
BRI3,4.77293468133011e-07,0.192132526635022,0.0791193903633222,0.77849435120204,0.999999999992859
CCT5,4.7231422956055e-07,0.186939218718645,0.0774772165894236,0.780745773874246,0.999999999992859
PRSS3,4.71106113734565e-07,0.185672449920096,0.0770813710453059,0.781292316002649,0.999999999992859
TMC5,4.67604503567021e-07,0.181985843964005,0.0759397775779568,0.782877026486889,0.999999999992859
SRSF3,4.646917966061e-07,0.178902097777771,0.0749966668072731,0.784195906311524,0.999999999992859
SNRPF,4.60656298314757e-07,0.174603528526715,0.0736997436251425,0.786024212414881,0.999999999992859
EIF3J,4.58960528072823e-07,0.172788063216996,0.0731581346293358,0.786792843939044,0.999999999992859
FXYD5,4.53005628620504e-07,0.166369286937892,0.0712720329359814,0.789493626527416,0.999999999992859
