name,best_affinity,all_affinities,status
RALTEGRAVIR,1.0,"[1.0, 9.117, 9.733, 10.0, 10.42, 10.47, 16.0, 27.49]",success
HYDROCORTISONE BUTYRATE,1.0,"[1.0, 8.649, 10.0, 10.54, 10.6, 11.0, 16.0]",success
CLASCOTERONE,1.0,"[1.0, 6.996, 10.0, 11.11, 11.43, 11.84, 13.01, 16.0]",success
CLOBETASONE BUTYRATE,1.0,"[1.0, 7.8, 10.0, 13.87, 15.15, 15.18, 15.76, 16.0]",success
SONIDEGIB,1.0,"[1.0, 10.0, 16.0, 35.08, 36.55, 38.07]",success
DEFLAZACORT,1.0,"[1.0, 10.0, 14.75, 16.0, 16.5, 17.43, 17.65, 19.72]",success
DROMOSTANOLONE PROPIONATE,1.0,"[1.0, 6.663, 6.681, 10.0, 10.84, 11.2, 16.0, 18.21]",success
NICERGOLINE,1.0,"[1.0, 4.337, 4.534, 10.0, 16.0]",success
TETRACYCLINE,1.0,"[1.0, 10.0, 14.89, 16.0, 19.53, 22.86, 23.04, 24.31]",success
CLOBETASOL PROPIONATE,1.0,"[1.0, 7.979, 10.0, 11.42, 14.47, 14.84, 16.0]",success
DARIDOREXANT,1.0,"[1.0, 10.0, 13.4, 16.0, 16.17, 16.18]",success
MIFEPRISTONE,1.0,"[1.0, 10.0, 16.0, 16.5, 24.64, 26.55, 29.28, 29.8]",success
HALOBETASOL PROPIONATE,1.0,"[1.0, 8.372, 9.794, 10.0, 13.83, 16.0]",success
DESOXYCORTICOSTERONE PIVALATE,1.0,"[1.0, 10.0, 10.06, 15.36, 16.0]",success
HALCINONIDE,1.0,"[1.0, 10.0, 16.0, 16.52, 18.18]",success
PALOVAROTENE,1.0,"[1.0, 10.0, 12.81, 16.0, 17.39, 17.4]",success
EPLERENONE,1.0,"[1.0, 6.34, 10.0, 11.99, 13.88, 15.39, 16.0, 18.96]",success
CLOCORTOLONE PIVALATE,1.0,"[1.0, 10.0, 16.0, 16.61, 20.22, 20.73, 21.76, 21.83]",success
ZURANOLONE,1.0,"[1.0, 5.685, 10.0, 10.53, 12.0, 13.64, 16.0, 64.83]",success
LUMACAFTOR,1.0,"[1.0, 10.0, 16.0, 21.85, 23.01, 24.4, 24.9, 25.86]",success
BREXANOLONE,1.0,"[1.0, 2.548, 2.578, 3.094, 3.953, 9.911, 10.0, 16.0]",success
BETRIXABAN,1.0,"[1.0, 10.0, 16.0, 22.15, 22.94, 23.43, 24.51, 26.03]",success
LOVASTATIN,1.0,"[1.0, 1.149, 1.342, 1.48, 1.635, 8.773, 10.0, 16.0]",success
FLURANDRENOLIDE,1.0,"[1.0, 10.0, 14.74, 16.0, 22.54, 22.62, 23.09, 23.16]",success
ULIPRISTAL,1.0,"[1.0, 10.0, 16.0, 16.89, 17.16]",success
HYDROCORTISONE VALERATE,1.0,"[1.0, 7.796, 7.933, 8.269, 8.953, 10.0, 16.0]",success
FLUMETHASONE PIVALATE,1.0,"[1.0, 10.0, 16.0, 19.62, 22.2, 22.51, 23.93]",success
ALECTINIB,1.0,"[1.0, 10.0, 16.0, 54.87, 57.23, 59.69]",success
CINEPAZIDE,1.0,"[1.0, 10.0, 11.81, 11.92, 12.6, 12.87, 13.13, 16.0]",success
RAMATROBAN,1.0,"[1.0, 1.844, 1.86, 1.861, 2.275, 2.598, 10.0, 16.0]",success
GATIFLOXACIN,1.0,"[1.0, 1.808, 4.127, 5.971, 6.255, 6.539, 10.0, 16.0]",success
BISACODYL,1.0,"[1.0, 5.965, 6.191, 7.849, 8.206, 8.329, 10.0, 16.0]",success
DAPRODUSTAT,1.0,"[1.0, 2.402, 2.544, 2.651, 10.0, 16.0]",success
ESTRONE SULFURIC ACID,1.0,"[1.0, 4.073, 4.336, 10.0, 10.34, 10.42, 11.42, 16.0]",success
DILTIAZEM,1.0,"[1.0, 3.217, 4.797, 5.52, 5.66, 7.1, 10.0, 16.0]",success
TENELIGLIPTIN,1.0,"[1.0, 8.979, 9.608, 10.0, 12.69, 14.33, 15.76, 16.0]",success
NOSCAPINE,1.0,"[1.0, 3.575, 4.361, 5.734, 5.922, 6.978, 10.0, 16.0]",success
INDOMETHACIN,1.0,"[1.0, 2.331, 3.848, 4.184, 5.882, 6.108, 10.0, 16.0]",success
