name,best_affinity,all_affinities,status
NABUMETONE,-6.131,"[-6.131, -5.688, -5.631, -5.446, -5.076, 0.0, 1.0, 10.0, 16.0]",
GEMFIBROZIL,-6.13,"[-6.13, -5.877, -5.604, -5.549, -5.334, 0.0, 1.0, 10.0, 16.0]",
METHOHEXITAL,-6.124,"[-6.124, -5.828, -5.653, -5.072, -5.068, 0.0, 1.0, 10.0, 16.0]",
CARBETAPENTANE,-6.118,"[-6.118, -5.511, -3.236, -2.67, -2.458, 0.0, 1.0, 10.0, 16.0]",
PROPOXYCAINE,-6.031,"[-6.031, -4.691, -4.231, -4.031, -3.949, 0.0, 1.0, 10.0, 16.0]",
DINOPROSTONE,-6.031,"[-6.031, -4.53, -4.401, -4.374, -4.274, 0.0, 1.0, 10.0, 16.0]",
PROCAINE,-5.974,"[-5.974, -5.553, -5.348, -5.327, -5.319, 0.0, 1.0, 10.0, 16.0]",
SULFADICRAMIDE,-5.882,"[-5.882, -5.805, -5.337, -5.23, -5.017, 0.0, 1.0, 10.0, 16.0]",
RITLECITINIB,-5.879,"[-5.879, -4.834, -4.611, -4.545, -3.557, 0.0, 1.0, 10.0, 16.0]",
FOSCARBIDOPA,-5.865,"[-5.865, -5.839, -5.45, -5.005, -4.997, 0.0, 1.0, 10.0, 16.0]",
EFLORNITHINE,-5.862,"[-5.862, -5.612, -5.574, -5.548, -5.404, 0.0, 1.0, 10.0, 16.0]",
NIFEDIPINE,-5.853,"[-5.853, -4.538, -3.55, -2.697, -2.672, 0.0, 1.0, 10.0, 16.0]",
VALACYCLOVIR,-5.847,"[-5.847, -5.824, -5.693, -5.235, -5.123, 0.0, 1.0, 10.0, 16.0]",
DEXPANTHENOL,-5.843,"[-5.843, -5.392, -5.211, -5.161, -5.055, 0.0, 1.0, 10.0, 16.0]",
OXAZEPAM,-5.819,"[-5.819, -2.187, -1.198, -0.044, 0.0, 0.852, 1.0, 10.0, 16.0]",
CITRIC ACID,-5.773,"[-5.773, -5.693, -5.603, -5.546, -5.53, 0.0, 1.0, 10.0, 16.0]",
LISDEXAMFETAMINE,-5.765,"[-5.765, -5.706, -5.676, -5.601, 0.0, 1.0, 10.0, 16.0]",
FOSLEVODOPA,-5.749,"[-5.749, -5.711, -5.652, -5.551, -5.33, 0.0, 1.0, 10.0, 16.0]",
CLOPIDOGREL,-5.738,"[-5.738, -5.553, -4.551, -4.415, -4.355, 0.0, 1.0, 10.0, 16.0]",
IPRONIAZID,-5.737,"[-5.737, -5.475, -5.31, -5.206, -5.101, 0.0, 1.0, 10.0, 16.0]",
NALOXONE,-5.732,"[-5.732, -3.808, -3.449, -2.642, -2.596, 0.0, 1.0, 10.0, 16.0]",success
PREGABALIN,-5.7,"[-5.7, -5.507, -5.404, -5.358, -5.316, 0.0, 1.0, 10.0, 16.0]",
ICOSAPENT ETHYL,-5.674,"[-5.674, -5.201, -4.802, -4.652, -4.634, 0.0, 1.0, 10.0, 16.0]",
LAPYRIUM,-5.668,"[-5.668, -5.175, -5.029, -4.87, -4.83, 0.0, 1.0, 10.0, 16.0]",
IODOHIPPURATE,-5.626,"[-5.626, -5.302, -4.078, -3.879, -3.714, 0.0, 1.0, 10.0, 16.0]",
CHLORAMBUCIL,-5.615,"[-5.615, -5.577, -5.077, -5.048, -4.996, 0.0, 1.0, 10.0, 16.0]",
MEPENZOLATE,-5.615,"[-5.615, -3.158, -1.946, -1.942, -1.659, 0.0, 1.0, 10.0, 16.0]",
BENFLUOREX,-5.607,"[-5.607, -5.42, -5.076, -4.955, -4.813, 0.0, 1.0, 10.0, 16.0]",
BENOXINATE,-5.603,"[-5.603, -5.108, -4.787, -4.691, -4.325, 0.0, 1.0, 10.0, 16.0]",success
BETHANECHOL,-5.575,"[-5.575, -5.549, -4.898, -4.539, -4.435, 0.0, 1.0, 10.0, 16.0]",
MELPHALAN,-5.55,"[-5.55, -5.39, -4.919, -4.439, -4.03, 0.0, 1.0, 10.0, 16.0]",
ACAMPROSATE,-5.547,"[-5.547, -5.458, -5.445, -5.424, -5.397, 0.0, 1.0, 10.0, 16.0]",
GLYCOPYRRONIUM,-5.545,"[-5.545, -4.57, -3.955, -3.604, -3.495, 0.0, 1.0, 10.0, 16.0]",
PYROVALERONE,-5.535,"[-5.535, -5.412, -4.966, -4.831, -4.764, 0.0, 1.0, 10.0, 16.0]",
ALPROSTADIL,-5.527,"[-5.527, -5.388, -5.177, -5.03, -4.266, 0.0, 1.0, 10.0, 16.0]",
CHLORAMPHENICOL,-5.503,"[-5.503, -5.205, -4.777, -3.651, -3.601, 0.0, 1.0, 10.0, 16.0]",
CARMUSTINE,-5.502,"[-5.502, -5.255, -5.246, -4.921, -4.616, 0.0, 1.0, 10.0, 16.0]",
CHLOROPROCAINE,-5.496,"[-5.496, -5.447, -5.379, -5.326, -5.309, 0.0, 1.0, 10.0, 16.0]",
BIOALLETHRIN,-5.491,"[-5.491, -5.067, -4.935, -4.198, -4.076, 0.0, 1.0, 10.0, 16.0]",success
CAPSAICIN,-5.457,"[-5.457, -5.212, -5.158, -4.443, -4.184, 0.0, 1.0, 10.0, 16.0]",
RIVASTIGMINE,-5.431,"[-5.431, -4.97, -4.912, -4.837, -4.582, 0.0, 1.0, 10.0, 16.0]",
FENSPIRIDE,-5.394,"[-5.394, -5.369, -5.067, -4.918, -4.585, 0.0, 1.0, 10.0, 16.0]",
