name,best_affinity,round,exhaustiveness,z_score,hit_level
L-Phenylalanine,-6.721,R1-R3,8,-0.8335303116311289,L5_Weak
Niflumic_Acid,-6.72,R1-R3,8,-0.8328078022177233,L5_Weak
CLOFIBRATE,-6.716,R5-FDA,16,-0.9543035647322747,L5_Weak
TICLOPIDINE,-6.706,R4,16,-0.8827885598690235,L5_Weak
METHOCARBAMOL,-6.704,R5-FDA,16,-0.9486502036281403,L5_Weak
CHLORZOXAZONE,-6.699,R4,16,-0.8772858011127719,L5_Weak
COUMARIN,-6.687,R4,16,-0.8678525003877703,L5_Weak
DIAZOXIDE,-6.682,R4,16,-0.8639219584190195,L5_Weak
EZOGABINE,-6.68,R5-FDA,16,-0.9373434814198719,L5_Weak
Aspirin,-6.676,R1-R3,8,-0.8010173880278874,L5_Weak
KETAMINE,-6.665,R4,16,-0.8505581157252665,L5_Weak
PHENSUXIMIDE,-6.651,R4,16,-0.839552598212764,L5_Weak
ETOMIDATE,-6.637,R4,16,-0.8285470807002615,L5_Weak
ACYCLOVIR,-6.632,R4,16,-0.8246165387315108,L5_Weak
GABAPENTIN ENACARBIL,-6.631,R5-FDA,16,-0.9142589235779908,L5_Weak
LOMUSTINE,-6.629,R4,16,-0.8222582135502602,L5_Weak
MELATONIN,-6.609,R4,16,-0.8065360456752573,L5_Weak
NAPHAZOLINE,-6.603,R4,16,-0.801819395312756,L5_Weak
NICOTINE,-6.603,R4,16,-0.801819395312756,L5_Weak
CLAVULANIC ACID,-6.603,R4,16,-0.801819395312756,L5_Weak
CLOBENZOREX,-6.597,R4,16,-0.7971027449502556,L5_Weak
FENCLOFENAC,-6.593,R4,16,-0.7939583113752546,L5_Weak
NITISINONE,-6.583,R4,16,-0.7860972274377531,L5_Weak
AMINOREX,-6.575,R4,16,-0.7798083602877518,L5_Weak
GUANFACINE,-6.575,R5-FDA,16,-0.8878765717586978,L5_Weak
Meclofenamic_Acid,-6.574,R1-R3,8,-0.7273214278605393,L5_Weak
FLUPIRTINE,-6.573,R5-FDA,16,-0.8869343449080088,L5_Weak
PILOCARPINE,-6.571,R4,16,-0.7766639267127508,L5_Weak
OXAPROZIN,-6.568,R5-FDA,16,-0.8845787777812859,L5_Weak
MECLOFENAMIC ACID,-6.567,R4,16,-0.7735194931377505,L5_Weak
DEXMEDETOMIDINE,-6.566,R4,16,-0.772733384744,L5_Weak
METHYPRYLON,-6.563,R4,16,-0.7703750595627494,L5_Weak
BUTAMBEN,-6.555,R5-FDA,16,-0.8784543032518072,L5_Weak
TEMOZOLOMIDE,-6.538,R4,16,-0.7507223497189958,L5_Weak
CARBIDOPA ANHYDROUS,-6.536,R5-FDA,16,-0.8695031481702613,L5_Weak
NICORANDIL,-6.536,R5-FDA,16,-0.8695031481702613,L5_Weak
Gemfibrozil,-6.534,R1-R3,8,-0.6984210513243245,L5_Weak
Oxaprozin,-6.532,R1-R3,8,-0.6969760324975139,L5_Weak
MILNACIPRAN,-6.532,R4,16,-0.7460056993564946,L5_Weak
